new_tc_id,title,purpose,source_sheet,source_row_numbers,source_tc_ids,conversion_type,conversion_note,priority,os,tc_attributes,automation_readiness,review_reason
CHAT_NEW_0013,채팅 영역 > 말풍선 공통 > 네트워크 불안정 상태 > 원활한 상태 변경 - 로코 재접속,종이비행기로 표시된 메시지 전송됨,5.일반채팅,24,CHAT_013,ONE_TO_ONE,원본 TC를 1:1로 구조화 변환,P1,common,"기능동작확인, 자동화후보",READY,
CHAT_NEW_0014,"채팅 영역 > 링키파이 이벤트 (담당자 : @poby @ssoya) > 축하선물 > 선물하기 > 트리거텍스트 매칭 - 1. 트리거텍스트 전송 처리 - 30자 이내, 트리거텍","1. 채팅방 상하단에 축하배너 노출 - 일정(어드민 정의된) 시간이 지나면 자동으로 숨겨짐 - 해당 채팅방 재진입 시, 노출조건에 해당하면 배너",5.일반채팅,27,CHAT_014,ONE_TO_ONE,원본 TC를 1:1로 구조화 변환,P1,common,,REVIEW_REQUIRED,기대결과에 결론적 검증 표현(…됨/…되어야 함)이 부족하여 검토 필요
CHAT_NEW_0015,"채팅 영역 > 링키파이 이벤트 (담당자 : @poby @ssoya) > 축하선물 > 선물하기 > 트리거말풍선 발화 - 2. 트리거말풍선 갯수에 따른 발화 처리 - 상단배너,",2. 트리거말풍선 누적 갯수 설정에 맞춰 노출 - 상단배너 - 하단배너 - 애니메이션,5.일반채팅,28,CHAT_015,ONE_TO_ONE,원본 TC를 1:1로 구조화 변환,P1,common,,REVIEW_REQUIRED,기대결과에 결론적 검증 표현(…됨/…되어야 함)이 부족하여 검토 필요
CHAT_NEW_0016,채팅 영역 > 링키파이 이벤트 (담당자 : @poby @ssoya) > 축하선물 > 선물하기 > 선물하기 미니 연동 - 3. 선물하기 배너 탭,"3. 선물하기 미니 바텀시트 열림 - 생일자 유무, 생일자 인원에 따라 친구피커or선물하기 미니로 즉시 랜딩 처리 됨 ㄴ생일자 1명 : 선물하기",5.일반채팅,29,CHAT_016,ONE_TO_ONE,원본 TC를 1:1로 구조화 변환,P1,common,기능동작확인,REVIEW_REQUIRED,기대결과에 결론적 검증 표현(…됨/…되어야 함)이 부족하여 검토 필요
CHAT_NEW_0017,채팅 영역 > 링키파이 이벤트 (담당자 : @poby @ssoya) > 축하선물 > 선물하기 > 선물완료 - 4. 선물완료 > '이 채팅방에 자랑하기' 실행,4. 채팅방 별로 대상 말풍선 발송 - 해당 채팅방 : 선물완료 피드 발송 + 선물완료 애니메이션 발화 - 선물수신자 1:1방 : 선물완료 레버,5.일반채팅,30,CHAT_017,ONE_TO_ONE,원본 TC를 1:1로 구조화 변환,P2,common,,REVIEW_REQUIRED,기대결과에 결론적 검증 표현(…됨/…되어야 함)이 부족하여 검토 필요
CHAT_NEW_0018,"채팅 영역 > 말풍선 리액션 (담당자 : @ssoya) > 일반채팅 ㄴ1:1, 그룹 > 선물완료 - 채팅방 내 말풍선 리액션 기능 확인",1) 7일 이내 수발신된 말풍선에 말풍선 리액션 기능 사용 가능 - 롱탭 시 컨텍스트 메뉴에 리액션 퀵바 & 기본 진입점 노출 - 7일 이전 말,5.일반채팅,33,CHAT_018,SPLIT,원본 수행 절차를 Step 단위로 세분화,P1,common,예외에러확인,REVIEW_REQUIRED,일부 Step의 기대결과가 원본에 명시되지 않아 화면 노출 기준으로 보완됨
CHAT_NEW_0019,"채팅 영역 > 말풍선 리액션 (담당자 : @ssoya) > 일반채팅 ㄴ1:1, 그룹 > 선물완료 - 2) 리액션기능 동작 확인","2) 리액션 선택 시 해당 말풍선에 적용, 재선택 시 해제 됨 - 리액션 선택 가능한 진입점 ㄴ컨텍스트 메뉴 > 리액션 퀵바 & 기본 진입점 ㄴ",5.일반채팅,34,CHAT_019,ONE_TO_ONE,원본 TC를 1:1로 구조화 변환,P1,common,"멀티디바이스OS, 콘텐츠미디어확인",REVIEW_REQUIRED,기대결과에 결론적 검증 표현(…됨/…되어야 함)이 부족하여 검토 필요
CHAT_NEW_0020,"채팅 영역 > 말풍선 리액션 (담당자 : @ssoya) > 일반채팅 ㄴ1:1, 그룹 > 선물완료 - 3) 빠른 리액션기능 동작 확인","3) 말풍선 더블탭 시 '설정 > 채팅 > 두 번 탭하여 빠른 리액션'에 설정한 값으로 리액션 아이템 적용 됨 - 설정값 종류 : 하트, 따봉,",5.일반채팅,35,CHAT_020,ONE_TO_ONE,원본 TC를 1:1로 구조화 변환,P1,common,"멀티디바이스OS, 콘텐츠미디어확인",REVIEW_REQUIRED,기대결과에 결론적 검증 표현(…됨/…되어야 함)이 부족하여 검토 필요
CHAT_NEW_0021,"채팅 영역 > 말풍선 리액션 (담당자 : @ssoya) > 일반채팅 ㄴ1:1, 그룹 > 선물완료 - 4) 리액션한 친구 목록 확인","4) 리액션한 친구 목록 화면 - 하프뷰로 열리며, 풀뷰로 확장 가능 - 리액션별 탭으로 구성되며, 탭 선택 시 탭간 이동 됨 ㄴ내 리액션이 제",5.일반채팅,36,CHAT_021,ONE_TO_ONE,원본 TC를 1:1로 구조화 변환,P1,common,"UI노출확인, 예외에러확인, 멀티디바이스OS, 콘텐츠미디어확인, 자동화후보",READY,
CHAT_NEW_0022,"채팅 영역 > 말풍선 리액션 (담당자 : @ssoya) > 일반채팅 ㄴ1:1, 그룹 > 선물완료 - 5) 채팅방 관련 서비스 연동 확인","5) - 리액션 데이터 함께 삭제/가리기 됨 ㄴ모두에게서 삭제 ㄴ나에게서 삭제 > 나의 말풍선만 삭제되므로, 대화상대의 말풍선에는 리액션데이터가",5.일반채팅,37,CHAT_022,ONE_TO_ONE,원본 TC를 1:1로 구조화 변환,P1,common,,REVIEW_REQUIRED,기대결과에 결론적 검증 표현(…됨/…되어야 함)이 부족하여 검토 필요
CHAT_NEW_0023,"채팅 영역 > 말풍선 리액션 (담당자 : @ssoya) > 일반채팅 ㄴ1:1, 그룹 > 복원 처리 확인 - 챗로그 백업 > 톡 재설치 > 복원 완료 > 말풍선 리",1. 2. 3. 복원된 챗로그에 리액션 데이터가 있다면 모두 노출 *참고 - 리액션은 백업/복원 대상은 아님. 서버 저장 정보를 보여줌.,5.일반채팅,38,CHAT_023,SPLIT,원본 수행 절차를 Step 단위로 세분화,P1,common,네트워크서버연동,REVIEW_REQUIRED,일부 Step의 기대결과가 원본에 명시되지 않아 화면 노출 기준으로 보완됨
CHAT_NEW_0024,"채팅 영역 > 말풍선 리액션 (담당자 : @ssoya) > 일반채팅 ㄴ1:1, 그룹 > 복원 처리 확인 - 채팅방 챗로그 백업 > 톡 재설치 > 복원 완료","리액션아이템 복원되지 않으나, 채팅방 말풍선은 정상노출되고 기능 사용 가능 - 개별 말풍선에 리액션아이템 선택 : 해당 말풍선 데이터가 복원되고",5.일반채팅,39,CHAT_024,SPLIT,원본 수행 절차를 Step 단위로 세분화,P3,common,예외에러확인,REVIEW_REQUIRED,일부 Step의 기대결과가 원본에 명시되지 않아 화면 노출 기준으로 보완됨
CHAT_NEW_0025,"채팅 영역 > 말풍선 리액션 (담당자 : @ssoya) > 일반채팅 ㄴ1:1, 그룹 > 예외처리 확인 - 1. 채팅방 내 말풍선 롱탭 > 리액션 기능 제공 확인","1. 일반 그룹채팅 > 내가 차단한 경우, 말풍선 리액션 기능 사용 불가 - 내가 차단한 사용자 : 리액션 메뉴 미제공 - 나를 차단한 사용자",5.일반채팅,40,CHAT_025,ONE_TO_ONE,원본 TC를 1:1로 구조화 변환,P1,common,예외에러확인,REVIEW_REQUIRED,기대결과에 결론적 검증 표현(…됨/…되어야 함)이 부족하여 검토 필요
CHAT_NEW_0026,"채팅 영역 > 말풍선 리액션 (담당자 : @ssoya) > 일반채팅 ㄴ1:1, 그룹 > 예외처리 확인 - 채팅방 내 말풍선 롱탭 > 리액션 기능 제공 확인",말풍선 리액션 기능 사용 불가 - 말풍선 롱탭 시 컨텍스트 메뉴 내 해당 메뉴 미노출,5.일반채팅,41,CHAT_026,ONE_TO_ONE,원본 TC를 1:1로 구조화 변환,P3,common,"권한인증확인, 예외에러확인",REVIEW_REQUIRED,기대결과에 결론적 검증 표현(…됨/…되어야 함)이 부족하여 검토 필요
CHAT_NEW_0027,채팅 영역 > 말풍선 리액션 (담당자 : @ssoya) > 나와의 채팅 > 예외처리 확인 - 1. 채팅방 내 말풍선 롱탭 > 리액션 기능 제공 확인,1. 말풍선 리액션 기능 사용 불가 - 말풍선 롱탭 시 컨텍스트 메뉴 내 해당 메뉴 미노출,5.일반채팅,43,CHAT_027,ONE_TO_ONE,원본 TC를 1:1로 구조화 변환,P1,common,예외에러확인,REVIEW_REQUIRED,기대결과에 결론적 검증 표현(…됨/…되어야 함)이 부족하여 검토 필요
CHAT_NEW_0028,채팅 영역 > 대화상대의 프로필 > 친구 여부 > 친구 AND 주소록 등록 완료 - 상대방 메시지 좌측 상대방 프로필 사진 탭,상대방의 프로필 노출됨 (iOS) ㄴ [1:1채팅] [통화하기] [페이스톡] [펑](등록된 게시물이 있는 경우) (android) ㄴ [1:1채,5.일반채팅,46,CHAT_028,ONE_TO_ONE,원본 TC를 1:1로 구조화 변환,P1,common,"UI노출확인, 멀티디바이스OS, 콘텐츠미디어확인, 자동화후보",READY,
CHAT_NEW_0029,채팅 영역 > 대화상대의 프로필 > 친구 여부 > 친구 AND 주소록 저장 X(전화번호 X) - 상대방 메시지 좌측 상대방 프로필 사진 탭,상대방의 프로필 노출됨 (iOS) ㄴ [1:1채팅] [보이스톡] [페이스톡] [펑](등록된 게시물이 있는 경우) (android) ㄴ [1:1채,5.일반채팅,47,CHAT_029,ONE_TO_ONE,원본 TC를 1:1로 구조화 변환,P1,common,"UI노출확인, 멀티디바이스OS, 콘텐츠미디어확인, 자동화후보",READY,
CHAT_NEW_0030,채팅 영역 > 대화상대의 프로필 > 친구 여부 > 친구 X - 상대방 메시지 좌측 상대방 프로필 사진 탭,친구 여부에 따른 버튼 노출여부 및 기능 동작 - 친구 X상태 > [친구 추가] - 친구 차단 상태 > [차단 해제],5.일반채팅,48,CHAT_030,ONE_TO_ONE,원본 TC를 1:1로 구조화 변환,P1,common,"예외에러확인, 콘텐츠미디어확인",REVIEW_REQUIRED,기대결과에 결론적 검증 표현(…됨/…되어야 함)이 부족하여 검토 필요
CHAT_NEW_0031,채팅 영역 > 공지 영역 > UI > 친구 X - 공지 영역 UI 확인,"채팅방 상단 공지 노출됨 - 확성기 아이콘, 공지 내용, X 노출 ㄴ새공지가 있는 경우 좌측상단 빨간점 노출 - 최대 2줄 노출 후 2줄 초과",5.일반채팅,50,CHAT_031,ONE_TO_ONE,원본 TC를 1:1로 구조화 변환,P1,common,"UI노출확인, 알림푸시확인, 자동화후보",READY,
CHAT_NEW_0032,채팅 영역 > 공지 영역 > 공지 삭제 > 친구 X - [X] 버튼 탭,공지 배너 사라짐,5.일반채팅,51,CHAT_032,ONE_TO_ONE,원본 TC를 1:1로 구조화 변환,P1,common,,REVIEW_REQUIRED,기대결과에 결론적 검증 표현(…됨/…되어야 함)이 부족하여 검토 필요
CHAT_NEW_0033,채팅 영역 > 공지 영역 > 공지 게시글 > 친구 X - 공지 배너 탭,공지로 등록된 게시글로 이동됨,5.일반채팅,52,CHAT_033,ONE_TO_ONE,원본 TC를 1:1로 구조화 변환,P1,common,"기능동작확인, 자동화후보",READY,
CHAT_NEW_0034,채팅 영역 > 스크롤 인디케이터 (날짜 버블) > 공지 게시글 > 친구 X - 채팅방 스크롤,현재 스크롤하고 있는 화면의 채팅이 수발신된 날짜가 - 스크롤 중일때만 스크롤바에 버블로 표시됨,5.일반채팅,53,CHAT_034,ONE_TO_ONE,원본 TC를 1:1로 구조화 변환,P1,common,"UI노출확인, 자동화후보",READY,
CHAT_NEW_0035,채팅 영역 > 채팅방 하단 이동 (아래로 바로 가기 - V버튼) > 공지 게시글 > 친구 X - 채팅방 과거 대화 내용 스크롤,1. 아래로 바로가기(V) 버튼 우측 하단 노출됨 2. 채팅방 라스트 메시지로 이동됨,5.일반채팅,54,CHAT_035,SPLIT,원본 수행 절차를 Step 단위로 세분화,P1,common,"UI노출확인, 기능동작확인, 자동화후보",READY,
CHAT_NEW_0036,채팅 영역 > 새 메시지 배너 > 공지 게시글 > 친구 X - 채팅방 진입 > 새 메시지 배너 탭,"최하단으로 이동되며 라스트메시지 노출됨 *안읽은 메시지의 처음으로 이동한 후에, 새 매시지 배너 탭하면 최하단으로 이동되며 라스트 메시지 확인가",5.일반채팅,55,CHAT_036,ONE_TO_ONE,원본 TC를 1:1로 구조화 변환,P1,common,"UI노출확인, 자동화후보",READY,
CHAT_NEW_0037,채팅 영역 > 챗로그 유실선 > 공지 게시글 > 친구 X - Spec & Tip 에 적힌대로 유실선 생성 동작 수행,챗로그 유실선이 노출됨 * 21.톡클라우드_백/복(로직) - 231번 행부터 유실선 동작 확인 진행,5.일반채팅,56,CHAT_037,ONE_TO_ONE,원본 TC를 1:1로 구조화 변환,P1,common,"UI노출확인, 자동화후보",READY,
CHAT_NEW_0038,채팅 영역 > 날짜 피드메시지 > 공지 게시글 > 친구 X - 타임머신 영역 탭,캘린더 레이어 노출되며 마지막 대화가 발생한 달로 열림 (마지막 대화가 있었던 달이 가장 최근 달) * 타임머신 캘린더 레이어(하프뷰) 기능은,5.일반채팅,57,CHAT_038,ONE_TO_ONE,원본 TC를 1:1로 구조화 변환,P1,common,기능동작확인,REVIEW_REQUIRED,기대결과에 결론적 검증 표현(…됨/…되어야 함)이 부족하여 검토 필요
CHAT_NEW_0039,채팅 영역 > 초대/나가기 피드메시지 > 나간상대 다시 초대하기 > 친구 X - 그룹채팅방의 대화상대가 채팅방을 나간 후 채팅방 퇴장,피드메시지와 다시 초대하기 버튼이 표시됨 - 피드메시지 : (나간 대화상대명) 님이 나갔습니다 [채팅방으로 초대하기],5.일반채팅,60,CHAT_039,ONE_TO_ONE,원본 TC를 1:1로 구조화 변환,P1,common,"UI노출확인, 자동화후보",READY,
CHAT_NEW_0040,채팅 영역 > 초대/나가기 피드메시지 > 나간상대 다시 초대하기 > 친구 X - [채팅방으로 초대하기] 버튼 탭,1. 초대 얼럿 노출됨 - 얼럿 : (나간 대화상대명)님을 채팅방으로 초대하시겠습니까? [취소][확인] 2. 얼럿 닫힘 3. 초대 피드메시지가,5.일반채팅,61,CHAT_040,SPLIT,원본 수행 절차를 Step 단위로 세분화,P1,common,"UI노출확인, 자동화후보",REVIEW_REQUIRED,일부 Step의 기대결과가 원본에 명시되지 않아 화면 노출 기준으로 보완됨
CHAT_NEW_0041,채팅 영역 > 초대/나가기 피드메시지 > 친구 상태 별 초대하기 메뉴 노출 > 채팅방 나간 상대 채팅방 재진입 - 채팅방의 퇴장 피드 확인,[채팅방으로 초대하기] 버튼 노출되지 않음,5.일반채팅,63,CHAT_041,ONE_TO_ONE,원본 TC를 1:1로 구조화 변환,P1,common,,REVIEW_REQUIRED,기대결과에 결론적 검증 표현(…됨/…되어야 함)이 부족하여 검토 필요
CHAT_NEW_0042,채팅 영역 > 초대/나가기 피드메시지 > 친구 상태 별 초대하기 메뉴 노출 > 차단한 상대와 1:1 대화방 - 1:1 채팅방 진입 후 메시지 발신,퇴장 피드가 발생하지 않으며 상대방은 메시지를 받을 수 없음,5.일반채팅,64,CHAT_042,ONE_TO_ONE,원본 TC를 1:1로 구조화 변환,P1,common,예외에러확인,REVIEW_REQUIRED,기대결과에 결론적 검증 표현(…됨/…되어야 함)이 부족하여 검토 필요
CHAT_NEW_0043,채팅 영역 > 초대/나가기 피드메시지 > 친구 상태 별 초대하기 메뉴 노출 > 차단한 상대와 단체 대화방 - [채팅방으로 초대하기] 버튼 탭,1. 초대 얼럿 노출됨 2. 나간 대화상대 초대되지 않음,5.일반채팅,65,CHAT_043,SPLIT,원본 수행 절차를 Step 단위로 세분화,P1,common,"UI노출확인, 예외에러확인, 자동화후보",READY,
CHAT_NEW_0044,채팅 영역 > 초대/나가기 피드메시지 > 예외케이스 > 채팅방 나가기 반복 (피드메시지 여러 개 노출) - 채팅방 퇴장 피드 확인,각 피드 현재의 상태를 반영하여 동일하게 표시됨,5.일반채팅,67,CHAT_044,ONE_TO_ONE,원본 TC를 1:1로 구조화 변환,P1,common,"UI노출확인, 자동화후보",READY,
CHAT_NEW_0045,채팅 영역 > 초대/나가기 피드메시지 > 예외케이스 > 친구 아닌 A가 채팅방 나간 후 A를 친구 추가하고 채팅방 재진입 - 채팅방의 퇴장 피드 확인,친구 관계가 아닌 상태에서는 [초대하기] 메뉴 노출되지 않고 친구 추가 후에는 [초대하기] 메뉴 노출됨,5.일반채팅,68,CHAT_045,ONE_TO_ONE,원본 TC를 1:1로 구조화 변환,P1,common,"UI노출확인, 자동화후보",READY,
CHAT_NEW_0046,채팅 영역 > 초대/나가기 피드메시지 > 예외케이스 > 친구였던 A가 채팅방 나간 후 A를 차단하고 채팅방 재진입 - 채팅방의 퇴장 피드 확인,친구 관계가 아닌 상태에서는 [초대하기] 메뉴 노출되지 않고 친구 추가 후에는 [초대하기] 메뉴 노출됨,5.일반채팅,69,CHAT_046,ONE_TO_ONE,원본 TC를 1:1로 구조화 변환,P1,common,"UI노출확인, 자동화후보",READY,
CHAT_NEW_0047,채팅 영역 > 초대/나가기 피드메시지 > 예외케이스 > 채팅방 나간 상대가 카카오톡 탈퇴 - 채팅방의 퇴장 피드 확인,1. [채팅방으로 초대하기] 버튼이 노출되며 초대 시도 시 친구 탈퇴 얼럿 노출됨 - 얼럿 : 초대하려는 친구는 탈퇴한 사용자입니다. 탈퇴 후,5.일반채팅,70,CHAT_047,SPLIT,원본 수행 절차를 Step 단위로 세분화,P1,common,"UI노출확인, 데이터변경확인, 네트워크서버연동, 자동화후보",REVIEW_REQUIRED,일부 Step의 기대결과가 원본에 명시되지 않아 화면 노출 기준으로 보완됨
CHAT_NEW_0048,입력 영역 > UI > 예외케이스 > 채팅방 나간 상대가 카카오톡 탈퇴 - 입력 영역 노출 확인,"입력창에 문자가 입력되었을 때 : 플러스 메뉴, 입력창, AI 아이콘, 이모티콘, 전송 아이콘 입력창에 문자가 입력되지 않았을 때 : 플러스 메",5.일반채팅,72,CHAT_048,ONE_TO_ONE,원본 TC를 1:1로 구조화 변환,P1,common,콘텐츠미디어확인,REVIEW_REQUIRED,기대결과에 결론적 검증 표현(…됨/…되어야 함)이 부족하여 검토 필요
CHAT_NEW_0049,예외케이스 > 프리채팅방 > 채팅방 개설자 > 채팅방 나간 상대가 카카오톡 탈퇴 - 채팅방 신규 생성 > 메시지 최초 발송,메시지 발송됨,5.일반채팅,75,CHAT_049,ONE_TO_ONE,원본 TC를 1:1로 구조화 변환,P1,common,알림푸시확인,REVIEW_REQUIRED,기대결과에 결론적 검증 표현(…됨/…되어야 함)이 부족하여 검토 필요
CHAT_NEW_0050,예외케이스 > 프리채팅방 > 채팅방 참여자 > 채팅방 나간 상대가 카카오톡 탈퇴 - 채팅방 신규 생성(개설자) > 메시지 최초 수신(참여자,1. 프리채팅방 알림 수신됨 2. 해당 채팅방으로 이동됨,5.일반채팅,76,CHAT_050,SPLIT,원본 수행 절차를 Step 단위로 세분화,P1,common,"기능동작확인, 알림푸시확인, 자동화후보",READY,
CHAT_NEW_0051,예외케이스 > 프리채팅방 > 웰컴메시지 > 채팅방 나간 상대가 카카오톡 탈퇴 - 프리채팅방 진입,1. 웰컴메시지 랜덤 노출 - 1:1 일반채팅방 외 웰컴메시지 미지원 - 이모티콘 구독 여부에 상관없이 노출 2. 이모티콘이 채팅방으로 발송된다,5.일반채팅,77,CHAT_051,SPLIT,원본 수행 절차를 Step 단위로 세분화,P1,common,"예외에러확인, 콘텐츠미디어확인",REVIEW_REQUIRED,기대결과에 결론적 검증 표현(…됨/…되어야 함)이 부족하여 검토 필요
CHAT_NEW_0052,예외케이스 > 스팸뷰 > UI > 채팅방 나간 상대가 카카오톡 탈퇴 - A로부터 메시지 수신,상단 영역 스팸뷰 표시됨 - [추가] [차단] [신고] 버튼 - '친구로 등록되지 않은 사용자입니다. 금전 요구 등으로 인한 피해를 입지 않도록,5.일반채팅,79,CHAT_052,ONE_TO_ONE,원본 TC를 1:1로 구조화 변환,P1,common,"UI노출확인, 예외에러확인, 자동화후보",READY,
CHAT_NEW_0053,예외케이스 > 스팸뷰 > 주의사항 보기 > 채팅방 나간 상대가 카카오톡 탈퇴 - 주의사항 보기 링크 탭,카카오톡 안녕가이드 피싱 주의 페이지로 이동됨,5.일반채팅,80,CHAT_053,ONE_TO_ONE,원본 TC를 1:1로 구조화 변환,P1,common,"기능동작확인, 자동화후보",READY,
CHAT_NEW_0054,예외케이스 > 스팸뷰 > 친구추가 > 채팅방 나간 상대가 카카오톡 탈퇴 - [추가] 버튼 탭,스팸뷰 사라지며 A가 친구로 추가됨,5.일반채팅,81,CHAT_054,ONE_TO_ONE,원본 TC를 1:1로 구조화 변환,P1,common,"데이터변경확인, 자동화후보",READY,
CHAT_NEW_0055,예외케이스 > 스팸뷰 > 차단 > 차단 진행 - [차단] 버튼 탭,"1. 차단 레이어 노출됨 - 메시지 차단 / 메시지 차단, 프로필 비공개 2. 차단 친구 목록에 A가 추가됨 - [차단]버튼 [차단해제]로 변경",5.일반채팅,83,CHAT_055,SPLIT,원본 수행 절차를 Step 단위로 세분화,P1,common,"UI노출확인, 데이터변경확인, 예외에러확인, 멀티디바이스OS, 자동화후보",REVIEW_REQUIRED,일부 Step의 기대결과가 원본에 명시되지 않아 화면 노출 기준으로 보완됨
CHAT_NEW_0056,예외케이스 > 스팸뷰 > 차단 > 메시지 전송 - A로부터 메시지 수신,메시지 수신되지 않음,5.일반채팅,84,CHAT_056,ONE_TO_ONE,원본 TC를 1:1로 구조화 변환,P1,common,,REVIEW_REQUIRED,기대결과에 결론적 검증 표현(…됨/…되어야 함)이 부족하여 검토 필요
CHAT_NEW_0057,예외케이스 > 스팸뷰 > 차단 > 프로필 - A 프로필 탭,A의 프로필과 배경화면 노출되며 [차단해제] 버튼 노출됨,5.일반채팅,85,CHAT_057,ONE_TO_ONE,원본 TC를 1:1로 구조화 변환,P1,common,"UI노출확인, 예외에러확인, 자동화후보",READY,
CHAT_NEW_0058,예외케이스 > 스팸뷰 > 차단 > 차단 해제 - [차단해제] 버튼 탭,차단 친구 목록에서 A가 삭제됨 - [차단해제] 버튼 [차단]으로 변경됨 - 채팅 입력필드 다시 활성화됨,5.일반채팅,86,CHAT_058,ONE_TO_ONE,원본 TC를 1:1로 구조화 변환,P1,common,"데이터변경확인, 예외에러확인, 자동화후보",READY,
CHAT_NEW_0059,예외케이스 > 스팸뷰 > 차단 > 메시지 전송 - 메시지 전송,메시지 송/수신이 가능함,5.일반채팅,87,CHAT_059,ONE_TO_ONE,원본 TC를 1:1로 구조화 변환,P1,common,,REVIEW_REQUIRED,기대결과에 결론적 검증 표현(…됨/…되어야 함)이 부족하여 검토 필요
