State ID,State Type,정의,판정 기준,출처 원본 행번호,사용 TC 수
STA_X_BACKGROUND_ACTIVITIES_MULTIPLE,Data State,다이내믹 아일랜드 백그라운드 활동이 2개 이상인 상태,[검토 필요] 다이내믹 아일랜드 백그라운드 활동이 2개 이상인 상태,701,1
STA_X_BLOCK_RELEASED_RELATION,Data State,상대 차단을 해제한(비차단) 관계 상태,[검토 필요] 상대 차단을 해제한(비차단) 관계 상태,87,1
STA_X_BOARD_POST_EXISTS,Data State,톡게시판에 게시글이 존재하는 상태,[검토 필요] 톡게시판에 게시글이 존재하는 상태,800 801 803 805 806 807 808 809 811,9
STA_X_BOOKMARK_ABSENT,Data State,채팅방에 책갈피가 설정되어 있지 않은 상태,[검토 필요] 채팅방에 책갈피가 설정되어 있지 않은 상태,97,1
STA_X_BOOKMARK_EXISTS,Data State,채팅방에 책갈피가 설정되어 있는 상태,[검토 필요] 채팅방에 책갈피가 설정되어 있는 상태,96 111,2
STA_X_BOT_ADDED_TO_CHATROOM,Data State,챗봇이 채팅방에 추가된 상태,[검토 필요] 챗봇이 채팅방에 추가된 상태,823 824 825 826 827 829 830 833,8
STA_X_BOT_COMMAND_GUIDE_REGISTERED,Data State,명령어 가이드가 등록된 챗봇이 있는 상태,[검토 필요] 명령어 가이드가 등록된 챗봇이 있는 상태,824 825 826 827,4
STA_X_BOT_REMOVED_FROM_CHATROOM,Data State,챗봇이 채팅방에서 제거된 상태,[검토 필요] 챗봇이 채팅방에서 제거된 상태,831,1
STA_X_BUBBLE_TAGGED,Data State,말풍선에 태그가 추가된 상태,[검토 필요] 말풍선에 태그가 추가된 상태,938 943 944,3
STA_X_BUBBLE_TAG_MAX_REACHED,Data State,하나의 말풍선에 태그가 3개(최대)까지 추가된 상태,[검토 필요] 하나의 말풍선에 태그가 3개(최대)까지 추가된 상태,936,1
STA_X_BUNDLE_SEND_OFF,UI State,사진 묶어보내기 설정이 꺼진 상태,[검토 필요] 사진 묶어보내기 설정이 꺼진 상태,446 448,2
STA_X_BUNDLE_SEND_ON,UI State,사진 묶어보내기 설정이 켜진 상태,[검토 필요] 사진 묶어보내기 설정이 켜진 상태,450 451 452 453 454 459,6
STA_X_CALL_BUBBLE_EXISTS,Data State,통화 관련 말풍선이 존재하는 상태,[검토 필요] 통화 관련 말풍선이 존재하는 상태,521 522,2
STA_X_CALL_HISTORY_EXISTS,Data State,통화 이력이 존재하는 상태,[검토 필요] 통화 이력이 존재하는 상태,517,1
STA_X_CAPTURE_MODE_ACTIVE,UI State,캡처 영역 선택 모드가 활성화된 상태,[검토 필요] 캡처 영역 선택 모드가 활성화된 상태,185 186 187,3
STA_X_CAPTURE_MODE_ENTERED,UI State,캡처 영역 선택 모드에 진입한 상태,[검토 필요] 캡처 영역 선택 모드에 진입한 상태,641 642 643 644 645,5
STA_X_CHANNEL_CHATROOM,Data State,채널과의 1:1 채팅방이 대상인 상태,[검토 필요] 채널과의 1:1 채팅방이 대상인 상태,209 417,2
STA_X_CHANNEL_CHATROOM_CHATTABLE,Data State,채팅이 가능한 채널 채팅방이 대상인 상태,[검토 필요] 채팅이 가능한 채널 채팅방이 대상인 상태,348,1
STA_X_CHANNEL_CHATROOM_NON_CHATTABLE,Data State,채팅이 불가능한 채널 채팅방이 대상인 상태,[검토 필요] 채팅이 불가능한 채널 채팅방이 대상인 상태,349,1
STA_X_CHANNEL_HOME_AUTOPLAY_VIDEO,Data State,동영상이 자동재생되는 채널홈인 상태,[검토 필요] 동영상이 자동재생되는 채널홈인 상태,258,1
STA_X_CHATBOT_LIST_ENTERED,UI State,챗봇 목록 화면에 진입한 상태,[검토 필요] 챗봇 목록 화면에 진입한 상태,821 822 829 830 832 833,6
STA_X_CHATROOM_INPUT_LOCKED,UI State,주의가 필요한 방으로 입력창이 잠금된 상태,[검토 필요] 주의가 필요한 방으로 입력창이 잠금된 상태,143 144,2
STA_X_CHATROOM_INPUT_UNLOCKED,UI State,입력창 잠금을 일시 해제한 상태(재진입 시 재잠금 대상 방),[검토 필요] 입력창 잠금을 일시 해제한 상태(재진입 시 재잠금 대상 방),145,1
STA_X_CHATROOM_MEMBERS_UNDER_10,Data State,채팅방 인원이 10명 미만인 상태,[검토 필요] 채팅방 인원이 10명 미만인 상태,401,1
STA_X_CHATROOM_MEMBERS_UNDER_100,Data State,채팅방 멤버가 100명 미만인 상태,[검토 필요] 채팅방 멤버가 100명 미만인 상태,367 370 373 375,4
STA_X_CHATROOM_SETTINGS_ENTERED,UI State,채팅방 설정 페이지에 진입한 상태,[검토 필요] 채팅방 설정 페이지에 진입한 상태,874 875,2
STA_X_CONTACT_MESSAGE_EXISTS,Data State,연락처 보내기 말풍선이 존재하는 상태,[검토 필요] 연락처 보내기 말풍선이 존재하는 상태,665,1
STA_X_CONVERSATION_EXISTS,Data State,채팅방에 대화 내용(수발신 내역)이 존재하는 상태,[검토 필요] 채팅방에 대화 내용(수발신 내역)이 존재하는 상태,897,1
STA_X_CURSOR_PRECEDED_BY_SPACE,UI State,입력 커서 앞에 공백문자가 1개 이상 있는 상태,[검토 필요] 입력 커서 앞에 공백문자가 1개 이상 있는 상태,198,1
STA_X_DRAFT_MESSAGE_EXISTS,UI State,입력창에 임시저장(작성중) 텍스트가 있는 상태,[검토 필요] 입력창에 임시저장(작성중) 텍스트가 있는 상태,146,1
STA_X_EDIT_MODE_ACTIVE,UI State,말풍선 수정 모드로 입력창이 열린 상태,[검토 필요] 말풍선 수정 모드로 입력창이 열린 상태,194 195 932,3
STA_X_EMOTICON_MESSAGE_EXISTS,Data State,이모티콘 말풍선이 채팅방에 존재하는 상태,[검토 필요] 이모티콘 말풍선이 채팅방에 존재하는 상태,325 326 327 328 329 330 331 332,8
STA_X_EXPORT_DIALOG_OPEN,UI State,대화 내용 내보내기 얼럿(화면)이 노출된 상태,[검토 필요] 대화 내용 내보내기 얼럿(화면)이 노출된 상태,906 907,2
STA_X_FAVORITE_SET,Data State,채팅방/친구가 즐겨찾기로 설정된 상태,[검토 필요] 채팅방/친구가 즐겨찾기로 설정된 상태,712,1
STA_X_FILE_SHARE_OWNER,Data State,대용량 파일을 본인이 공유(업로드)한 유저인 상태,[검토 필요] 대용량 파일을 본인이 공유(업로드)한 유저인 상태,543 544 545 546 547 548 549 550 552 553 554 555 556 557 558 559 561 562 563 564 565 566 567 568 569 570,26
STA_X_FILE_SHARE_RECIPIENT,Data State,대용량 파일을 공유받은 유저인 상태,[검토 필요] 대용량 파일을 공유받은 유저인 상태,573 574 575 576 577 579 580 581 582 583 585 586 587 588,14
STA_X_FREE_CHATROOM,Data State,프리채팅방이 대상인 상태,[검토 필요] 프리채팅방이 대상인 상태,75 76,2
STA_X_GAME_HISTORY_EXISTS,Data State,미니게임 이용 히스토리가 있는 상태,[검토 필요] 미니게임 이용 히스토리가 있는 상태,388,1
STA_X_GIFT_BANNER_SHOWN,UI State,선물하기(축하) 배너가 채팅방에 노출된 상태,[검토 필요] 선물하기(축하) 배너가 채팅방에 노출된 상태,29,1
STA_X_GIFT_COMPLETED,Data State,선물하기 결제가 완료된 상태,[검토 필요] 선물하기 결제가 완료된 상태,30,1
STA_X_HAS_AT_LEAST_ONE_FRIEND,Data State,채팅방에 1명 이상의 친구가 존재하는 상태,[검토 필요] 채팅방에 1명 이상의 친구가 존재하는 상태,401,1
STA_X_IMAGE_IN_CLIPBOARD,Data State,문자가 포함된 사진이 클립보드에 복사된 상태,[검토 필요] 문자가 포함된 사진이 클립보드에 복사된 상태,164 165,2
STA_X_INVITE_DECLINED_LEFT,Data State,초대거부 후 나가기를 진행해 재입장이 불가한 유저가 존재하는 상태,[검토 필요] 초대거부 후 나가기를 진행해 재입장이 불가한 유저가 존재하는 상태,914,1
STA_X_JOINED_LOCATION_GROUPS_UNDER_10,Data State,사용자가 참여 중인 위치 그룹 수가 10개 미만인 상태,[검토 필요] 사용자가 참여 중인 위치 그룹 수가 10개 미만인 상태,367 370 373 375,4
STA_X_KAKAOMAP_ALL_PERMISSIONS_ALLOWED,Permission State,카카오맵 앱 권한이 모두 허용된 상태,[검토 필요] 카카오맵 앱 권한이 모두 허용된 상태,379 384,2
STA_X_KAKAOMAP_INSTALLED,Data State,카카오맵 앱이 설치된 상태,[검토 필요] 카카오맵 앱이 설치된 상태,379 384,2
STA_X_KAKAOMAP_LOGGED_IN,Data State,카카오맵에 로그인된 상태,[검토 필요] 카카오맵에 로그인된 상태,366 372 374 379 380 384,6
STA_X_KAKAOMAP_LOGGED_OUT,Data State,카카오맵에 로그인되지 않은 상태,[검토 필요] 카카오맵에 로그인되지 않은 상태,369,1
STA_X_KAKAOTV_BROADCAST_PLAYING,Data State,카카오TV 방송이 재생 중인 상태,[검토 필요] 카카오TV 방송이 재생 중인 상태,245 246 248 249 252 253 258 260 261,9
STA_X_KAKAOTV_MINIPLAYER_ACTIVE,UI State,카카오TV 미니플레이어가 활성화된 상태,[검토 필요] 카카오TV 미니플레이어가 활성화된 상태,246 248 249 250 252 253 258 260 261 262,10
STA_X_KAKAOTV_PLAYER_FLOATING,UI State,카카오TV 플레이어가 플로팅 모드인 상태,[검토 필요] 카카오TV 플레이어가 플로팅 모드인 상태,266 267,2
STA_X_KAKAOTV_PLAYER_FULLSCREEN,UI State,카카오TV 플레이어가 전체화면인 상태,[검토 필요] 카카오TV 플레이어가 전체화면인 상태,268 269,2
STA_X_KAKAOTV_POPUP_PLAYER_OPEN,UI State,카카오TV 전용(팝업) 플레이어가 열린 상태,[검토 필요] 카카오TV 전용(팝업) 플레이어가 열린 상태,245 265,2
STA_X_KAKAOTV_SHARED_IN_CHATROOM,Data State,카카오TV 링크가 채팅방에 공유된 상태,[검토 필요] 카카오TV 링크가 채팅방에 공유된 상태,245 264,2
STA_X_KEYBOARD_ACTIVE,UI State,키보드가 활성화(올라온) 상태,[검토 필요] 키보드가 활성화(올라온) 상태,131,1
STA_X_KEYBOARD_INACTIVE,UI State,키보드가 비활성화(내려간) 상태,[검토 필요] 키보드가 비활성화(내려간) 상태,130,1
STA_X_KEYBOARD_TOOLBAR_ON,UI State,설정 > 채팅 > 키보드 툴바가 활성화된 상태,[검토 필요] 설정 > 채팅 > 키보드 툴바가 활성화된 상태,131,1
STA_X_LADDER_GAME_STARTED,Data State,사다리 게임이 시작되어 채팅방에 공유된 상태,[검토 필요] 사다리 게임이 시작되어 채팅방에 공유된 상태,397 398 399,3
STA_X_LADDER_PARTICIPANTS_OVER_10,Data State,사다리 게임 참여 인원이 10명 이상인 상태,[검토 필요] 사다리 게임 참여 인원이 10명 이상인 상태,399,1
STA_X_LADDER_PARTICIPANTS_UNDER_10,Data State,사다리 게임 참여 인원이 10명 미만인 상태,[검토 필요] 사다리 게임 참여 인원이 10명 미만인 상태,398,1
STA_X_LADDER_SETUP_DONE,UI State,사다리 게임 세팅이 완료된 상태,[검토 필요] 사다리 게임 세팅이 완료된 상태,395,1
STA_X_LARGE_FILE_BUBBLE_EXISTS,Data State,채팅방에 대용량 파일 말풍선이 존재하는 상태,[검토 필요] 채팅방에 대용량 파일 말풍선이 존재하는 상태,543 544 545 546 547 548 549 550 552 553 554 555 556 557 558 559 561 562 563 564 565 566 567 568 569 570 573 574 575 576 577 579 580 581 582 583 585 586 587 588,40
STA_X_LEFT_MEMBER_REJOINED,Data State,채팅방을 나갔던 상대가 다시 채팅방에 재진입한 상태,[검토 필요] 채팅방을 나갔던 상대가 다시 채팅방에 재진입한 상태,63,1
STA_X_LINKIFY_EVENT_ACTIVE,Data State,링키파이 축하선물 상시운영 이벤트가 활성화된 상태,[검토 필요] 링키파이 축하선물 상시운영 이벤트가 활성화된 상태,27 28,2
STA_X_LIVE_TEXT_OFF,UI State,라이브 텍스트 기능이 꺼진 상태,[검토 필요] 라이브 텍스트 기능이 꺼진 상태,468 469 470 471,4
STA_X_LIVE_TEXT_ON,UI State,라이브 텍스트 기능이 켜진 상태,[검토 필요] 라이브 텍스트 기능이 켜진 상태,473 474,2
STA_X_LIVE_TEXT_SUPPORTED_DEVICE,Data State,라이브 텍스트 지원 단말(iOS 16 이상)인 상태,[검토 필요] 라이브 텍스트 지원 단말(iOS 16 이상)인 상태,468 469 470 471 473 474,6
STA_X_LOCATION_CONSENT_OFF,Data State,카톡 위치정보 수집 및 이용동의가 되어있지 않은(N) 상태,[검토 필요] 카톡 위치정보 수집 및 이용동의가 되어있지 않은(N) 상태,358,1
STA_X_LOCATION_GROUP_IN_CHATROOM,Data State,해당 채팅방에 연결된 위치 그룹이 존재하는 상태,[검토 필요] 해당 채팅방에 연결된 위치 그룹이 존재하는 상태,372 374 384,3
STA_X_LOCATION_MESSAGE_EXISTS,Data State,지도(위치) 말풍선이 존재하는 상태,[검토 필요] 지도(위치) 말풍선이 존재하는 상태,635,1
STA_X_LOCATION_PERMISSION_DENIED,Permission State,카톡 앱 OS 위치 접근 권한이 거부된 상태,[검토 필요] 카톡 앱 OS 위치 접근 권한이 거부된 상태,360,1
STA_X_LOCATION_SHARE_NOT_PARTICIPATING,Data State,위치공유에 참여 중이지 않은(N) 상태,[검토 필요] 위치공유에 참여 중이지 않은(N) 상태,358,1
STA_X_LOTTERY_GAME_STARTED,Data State,당첨 뽑기 게임이 시작되어 결과가 존재하는 상태,[검토 필요] 당첨 뽑기 게임이 시작되어 결과가 존재하는 상태,405 406,2
STA_X_LOTTERY_PARTICIPANTS_OVER_10,Data State,당첨 뽑기 참여 인원이 10명 이상인 상태,[검토 필요] 당첨 뽑기 참여 인원이 10명 이상인 상태,406,1
STA_X_LOTTERY_PARTICIPANTS_UNDER_10,Data State,당첨 뽑기 참여 인원이 10명 미만인 상태,[검토 필요] 당첨 뽑기 참여 인원이 10명 미만인 상태,405,1
STA_X_LOTTERY_SETUP_DONE,UI State,당첨 뽑기 당첨자 수 세팅이 완료된 상태,[검토 필요] 당첨 뽑기 당첨자 수 세팅이 완료된 상태,403,1
STA_X_MAIL_ACCOUNT_CONFIGURED,Data State,[iOS] 단말기에 메일 계정이 설정되어 있는 상태,[검토 필요] [iOS] 단말기에 메일 계정이 설정되어 있는 상태,906,1
STA_X_MAP_ACCOUNT_CHATROOM_MEMBER,Data State,카카오맵 로그인 계정이 대상 채팅방의 참여 멤버인 상태,[검토 필요] 카카오맵 로그인 계정이 대상 채팅방의 참여 멤버인 상태,366 372 374,3
STA_X_MAP_GROUP_ENTERED,Data State,카카오맵에서 위치 그룹에 입장한 상태,[검토 필요] 카카오맵에서 위치 그룹에 입장한 상태,380,1
STA_X_MEDIA_SELECTED_IN_PICKER,Data State,앨범 피커에서 사진/동영상을 선택한 상태,[검토 필요] 앨범 피커에서 사진/동영상을 선택한 상태,436 437 438 439 441,5
STA_X_MEMBERS_WITH_VARIED_NICKNAMES,Data State,채팅방에 숫자·영문·한글 닉네임의 멤버가 존재하는 상태,[검토 필요] 채팅방에 숫자·영문·한글 닉네임의 멤버가 존재하는 상태,199,1
STA_X_MEMBER_LEFT,Data State,그룹 채팅방에서 대화상대가 나가 퇴장 피드가 있는 상태,[검토 필요] 그룹 채팅방에서 대화상대가 나가 퇴장 피드가 있는 상태,60 61 63 65 67 68 69 70,8
STA_X_MENTION_COUNT_MAX,UI State,입력창에 멘션이 최대치(15개) 입력된 상태,[검토 필요] 입력창에 멘션이 최대치(15개) 입력된 상태,201 202,2
STA_X_MENTION_SUGGEST_ACTIVE,UI State,멘션 서제스트 UI가 활성화된 상태,[검토 필요] 멘션 서제스트 UI가 활성화된 상태,199,1
STA_X_MENTION_TARGET_EDITED_BY_RECEIVER,Data State,수신인이 멘션대상(C)의 닉네임을 톡에서 수정한 상태,[검토 필요] 수신인이 멘션대상(C)의 닉네임을 톡에서 수정한 상태,222 223 224 225 226 227,6
STA_X_MENTION_TARGET_EDITED_BY_SENDER,Data State,발신인이 멘션대상(C)의 닉네임을 톡에서 수정한 상태,[검토 필요] 발신인이 멘션대상(C)의 닉네임을 톡에서 수정한 상태,229 230 231 232 233 234,6
STA_X_MENTION_TARGET_FRIEND_NO_NAME_RECEIVER,Data State,수신인에게 멘션대상(C)이 친구이나 저장/수정 이름이 없는 상태,[검토 필요] 수신인에게 멘션대상(C)이 친구이나 저장/수정 이름이 없는 상태,236 237 238 239 240 241,6
STA_X_MENTION_TARGET_FRIEND_NO_NAME_SENDER,Data State,발신인에게 멘션대상(C)이 친구이나 저장/수정 이름이 없는 상태,[검토 필요] 발신인에게 멘션대상(C)이 친구이나 저장/수정 이름이 없는 상태,242,1
STA_X_MENTION_TARGET_NOT_FRIEND_RECEIVER,Data State,수신인에게 멘션대상(C)이 친구가 아닌 상태,[검토 필요] 수신인에게 멘션대상(C)이 친구가 아닌 상태,242,1
STA_X_MENTION_TARGET_NOT_FRIEND_SENDER,Data State,발신인에게 멘션대상(C)이 친구가 아닌 상태,[검토 필요] 발신인에게 멘션대상(C)이 친구가 아닌 상태,236 237 238 239 240 241,6
STA_X_MENTION_TARGET_SAVED_BY_RECEIVER,Data State,수신인이 멘션대상(C)의 이름을 연락처에 저장한 상태,[검토 필요] 수신인이 멘션대상(C)의 이름을 연락처에 저장한 상태,229 230 231 232 233 234,6
STA_X_MENTION_TARGET_SAVED_BY_SENDER,Data State,발신인이 멘션대상(C)의 이름을 연락처에 저장한 상태,[검토 필요] 발신인이 멘션대상(C)의 이름을 연락처에 저장한 상태,222 223 224 225 226 227,6
STA_X_MESSAGE_EXISTS,Data State,채팅방에 말풍선(메시지)이 하나 이상 존재하는 상태,[검토 필요] 채팅방에 말풍선(메시지)이 하나 이상 존재하는 상태,639,1
STA_X_MESSAGE_WITHIN_7DAYS,Data State,7일 이내 수발신된 말풍선이 존재하는 상태,[검토 필요] 7일 이내 수발신된 말풍선이 존재하는 상태,33,1
STA_X_MINIGAME_LIST_OPEN,UI State,미니게임 목록 바텀시트 웹뷰가 열린 상태,[검토 필요] 미니게임 목록 바텀시트 웹뷰가 열린 상태,389 393 401 407,4
STA_X_MUSIC_MESSAGE_EXISTS,Data State,뮤직(곡/앨범/플레이리스트) 말풍선이 존재하는 상태,[검토 필요] 뮤직(곡/앨범/플레이리스트) 말풍선이 존재하는 상태,606 607 608 609 611 612 613 615 616 617 619 620 621 623,14
STA_X_MUSIC_MODAL_ENTERED,UI State,뮤직 모달뷰(웹뷰)에 진입한 상태,[검토 필요] 뮤직 모달뷰(웹뷰)에 진입한 상태,600 601 602 603,4
STA_X_NOTICE_EXISTS,Data State,채팅방에 등록된 공지가 있는 상태,[검토 필요] 채팅방에 등록된 공지가 있는 상태,50 51 52,3
