service_name,row_number,issue_type,issue_reason,priority,os,category_path,test_step,expected_result
7.팀채팅_채팅방,73,ambiguous_expected_result,기대결과가 비어 있음,P3,common,개설 불가 > 안내배너 노출 우선순위 확인 > 팀채팅 > 팀채팅 > 이전 대화상대 유지 메뉴 미노출 확인,,
7.팀채팅_채팅방,398,ambiguous_test_step,Test Step이 비어 있음,P3,common,"거절하기 > 거절 요청 예외케이스 > TMS 수신 
 - 팀채팅 채널 > 멤버 
: 방장 거절",,
7.팀채팅_채팅방,398,ambiguous_expected_result,기대결과가 비어 있음,P3,common,"거절하기 > 거절 요청 예외케이스 > TMS 수신 
 - 팀채팅 채널 > 멤버 
: 방장 거절",,
7.팀채팅_채팅방,406,ambiguous_test_step,Test Step이 비어 있음,P3,common,"거절하기 > 자동 거절 처리 시, 방장 동작 > 알 수 없는 오류 > 클라 공통 오류 
(네트워크 에러)",,
7.팀채팅_채팅방,406,ambiguous_expected_result,기대결과가 비어 있음,P3,common,"거절하기 > 자동 거절 처리 시, 방장 동작 > 알 수 없는 오류 > 클라 공통 오류 
(네트워크 에러)",,
7.팀채팅_채팅방,424,ambiguous_test_step,Test Step이 비어 있음,P3,common,"수락하기 > 수락 요청 예외케이스 > TMS 수신 
 - 팀채팅 채널 > [팀채팅방 가기] 랜딩",,
7.팀채팅_채팅방,424,ambiguous_expected_result,기대결과가 비어 있음,P3,common,"수락하기 > 수락 요청 예외케이스 > TMS 수신 
 - 팀채팅 채널 > [팀채팅방 가기] 랜딩",,
7.팀채팅_채팅방,504,ambiguous_test_step,Test Step이 비어 있음,P3,common,"톡클라우드 미사용자 (무료) > 멤버 권한 관리 > 챗봇 추가/제거 권한 > TMS 수신 
 - 팀채팅 채널",,*간단히 기본 기능 확인
7.팀채팅_채팅방,505,ambiguous_test_step,Test Step이 비어 있음,P3,common,"톡클라우드 미사용자 (무료) > 멤버 권한 관리 > 캘린더 설정 > TMS 수신 
 - 팀채팅 채널",,*간단히 기본 기능 확인
7.팀채팅_채팅방,556,ambiguous_test_step,Test Step이 비어 있음,P3,common,"채팅방 검색
: 키워드 검색 > 검색화면
: 이동 버튼 클릭 시 유실구간 확인 > 복원 실패 > 네트워크 얼럿",,
7.팀채팅_채팅방,556,ambiguous_expected_result,기대결과가 비어 있음,P3,common,"채팅방 검색
: 키워드 검색 > 검색화면
: 이동 버튼 클릭 시 유실구간 확인 > 복원 실패 > 네트워크 얼럿",,
8.팀채팅_홈상세,8,invalid_category,"분류1=""생성 및 초대"" / 분류2="""" — 주요 분류가 비어 있음",P1,common,생성 및 초대,"1. (방장) 채팅 목록 > 팀채팅방 생성 및 멤버 초대 
2. (멤버) 초대받은 팀채팅방 진입","개설 완료 시, 팀채팅방으로 이동
 - 채팅방 목록에 팀채팅방 아이콘 표시 
 - 대화상대 목록에 방장 아이콘 표시 

방장 / 멤버 
채팅방 상단에 팀채팅 개설 피드, 초대 피드 노출
 - {방장이름}님이 {참여멤버1}님을 초대했습니다.
 - {방장이름}님이 방장이 되어 팀채팅을 시작했어요!"
8.팀채팅_홈상세,30,ambiguous_test_step,Test Step이 비어 있음,P1,common,상세 화면 > UI > 연결 유실,,"방장, 멤버에 따라 상세 화면 기능이 노출됨 

방장 / 부방장 
 - [닫기]/[뒤로가기] || 다중 선택 버튼 [V] || 검색 || 설정

 - 팀채팅방 프로필 
   - 프로필 우하단에 방장 / 부방장 뱃지 노출
 - 팀채팅방명 및 소개글 
 - [멤버 n명] || [채팅방 가기] 

 - 사진/동영상(선택 상태) || 파일 || 링크 

멤버 
 "
9.숏폼,75,ambiguous_test_step,Test Step이 비어 있음,P1,common,검색 > 최근 검색 > 위치 > 실명 프로필,,"검색 트렌드 화면 노출 

트렌드 키워드 
- 설명 
- 관련 영상 노출 
제목, 재생 수 (재생수 카운트 한글로 노출 ex. 100만)"
10.통화,35,duplicated_step_expected,Test Step과 기대결과 유사도 90%,P1,ios,"통화창 (수신 화면) > call kit
(iOS) > 통화창> 통화 녹음","call kit 통화창 내 버튼 동작
(메시지, 나중에 보기 등의 메뉴는 동작 안함)","call kit 통화창 내 모든 버튼 기능이 정상 동작함
(메시지, 나중에 보기 등의 메뉴는 동작 안함)"
10.통화,58,ambiguous_test_step,Test Step이 비어 있음,P1,common,통화중 > 연결중-->통화중 전환 > android PIP,,"- 그룹 보이스톡이 시작됨
- 통화 멤버가 타일뷰(기본뷰)로 표시됨
- 통화창 내 기능이 모두 정상동작함"
11.톡뮤직,8,invalid_category,"분류1=""뮤직온"" / 분류2="""" — 주요 분류가 비어 있음",P1,common,뮤직온,"1. 뮤직온 버튼 노출 확인
2. 뮤직온 기능 확인 (음악 재생 상태별로 확인)","1. 친구탭 헤더 우측 영역 내 뮤직온 버튼이 위치 함
- 그 외 메인탭에는 뮤직온 버튼 미노출

2. 음악 재생 상태에 따라 디자인과 랜딩 처리가 상이함
- 음악 정지/일시정지 : 재생정지 디자인, 풀플레이어 For you 탭 화면으로 랜딩
- 음악 재생 중 : 재생중 디자인, 풀플레이어 재생목록 탭 화면으로 랜딩"
11.톡뮤직,10,invalid_category,"분류1=""Notification Player (Android Only)"" / 분류2="""" — 주요 분류가 비어 있음",P1,android,Notification Player (Android Only),Notification Player의 동작 확인,"음악 재생 시 알림바에 자동 노출
톡종료or톡내에서 플레이어 종료 시 자동으로 사라짐
UI 표시와 기능이 정상 동작 함"
12.이모티콘플러스(+키보드),111,ambiguous_expected_result,기대결과가 비어 있음,P3,common,이모티콘 검색 > 검색 모드 진입 > 취소 > 최대 표시개수(4개) 스펙 확인,"닫기 액션 스펙 참고
* iOS - 취소
* Android - 좌상단 뒤로가기 화살표 or 물리 백버튼
* 공통 - 딤드영역 터치 시 닫기 처리",
12.이모티콘플러스(+키보드),161,ambiguous_expected_result,기대결과가 비어 있음,P3,common,이모티콘 검색 > 검색 모드 진입 > 취소 > 최대 표시개수(4개) 스펙 확인,"닫기 액션 스펙 참고
* iOS - 취소
* Android - 좌상단 뒤로가기 화살표 or 물리 백버튼
* 공통 - 딤드영역 터치 시 닫기 처리",
12.이모티콘플러스(+키보드),249,ambiguous_test_step,Test Step이 비어 있음,P3,common,"검색 결과화면 > 취향 버블 결과화면 > 취향 영역 안내 문구 > 추검배너 우선순위 확인
- 최상위 레이어 유지 확인",,
12.이모티콘플러스(+키보드),249,ambiguous_expected_result,기대결과가 비어 있음,P3,common,"검색 결과화면 > 취향 버블 결과화면 > 취향 영역 안내 문구 > 추검배너 우선순위 확인
- 최상위 레이어 유지 확인",,
12.이모티콘플러스(+키보드),252,ambiguous_expected_result,기대결과가 비어 있음,P3,common,검색 결과화면 > 추천검색 캐싱 체크 > 취향 영역 안내 문구 > 안내 문구 미노출 확인,* 동일 추천검색 키워드 입력시 60분간 캐싱하므로 search_keyword api 미호출 여부 체크,
12.이모티콘플러스(+키보드),264,ambiguous_test_step,Test Step이 비어 있음,P1,common,이모트 상태 별 따라하기 결과화면 확인 > Y > N > -,,"아이템 섹션이 표시된다.

작가 페이지 진입점 표시된다.
- {작가명} 더보기 >"
12.이모티콘플러스(+키보드),265,ambiguous_test_step,Test Step이 비어 있음,P1,common,이모트 상태 별 따라하기 결과화면 확인 > N > Y > Y,,"따라하기가 제한되어 비슷한 이모티콘이 추천됩니다.

키워드 섹션 표시된다.

아이템 섹션 표시된다."
12.이모티콘플러스(+키보드),266,ambiguous_test_step,Test Step이 비어 있음,P1,common,이모트 상태 별 따라하기 결과화면 확인 > N > Y > N,,"따라하기가 제한되어 비슷한 이모티콘이 추천됩니다.

키워드 섹션 표시된다."
12.이모티콘플러스(+키보드),267,ambiguous_test_step,Test Step이 비어 있음,P1,common,이모트 상태 별 따라하기 결과화면 확인 > N > N > Y,,아이템 섹션 표시된다.
12.이모티콘플러스(+키보드),268,ambiguous_test_step,Test Step이 비어 있음,P1,common,이모트 상태 별 따라하기 결과화면 확인 > N > N > N,,"검색 결과 없음

이모티콘 추천을 준비중입니다."
12.이모티콘플러스(+키보드),363,ambiguous_test_step,Test Step이 비어 있음,P3,common,이모트 상태 별 따라하기 결과화면 확인 > Y > Y > N,,"키워드 섹션 표시된다.
- 따라하기 이모트 첫번째 노출(잠금뷰)

아이템 섹션 표시된다.
- 따라하기 이모트 첫번째 노출
- 잠금뷰로 표시된다."
12.이모티콘플러스(+키보드),364,ambiguous_test_step,Test Step이 비어 있음,P3,common,이모트 상태 별 따라하기 결과화면 확인 > Y > N > Y,,"아이템 섹션 표시된다.
- 따라하기 이모트 첫번째 노출
- 보유 상태로 표시된다.(잠금뷰아님)"
12.이모티콘플러스(+키보드),365,ambiguous_test_step,Test Step이 비어 있음,P3,common,이모트 상태 별 따라하기 결과화면 확인 > Y > N > N,,"아이템 섹션 표시된다.
- 따라하기 이모트 첫번째 노출
- 잠금뷰로 표시된다."
12.이모티콘플러스(+키보드),366,ambiguous_test_step,Test Step이 비어 있음,P3,common,이모트 상태 별 따라하기 결과화면 확인 > N > Y > Y,,"따라하기가 제한되어 비슷한 이모티콘이 추천됩니다.

키워드 섹션 표시된다.
- 따라하기 이모트 첫번째 노출

아이템 섹션 표시된다.
- 따라하기 이모트 첫번째 노출
- 보유 상태로 표시된다.(잠금뷰아님)"
12.이모티콘플러스(+키보드),367,ambiguous_test_step,Test Step이 비어 있음,P3,common,이모트 상태 별 따라하기 결과화면 확인 > N > Y > N,,"따라하기가 제한되어 비슷한 이모티콘이 추천됩니다.

키워드 섹션 표시된다.
- 따라하기 이모트 첫번째 노출(잠금뷰)

아이템 섹션 표시된다.
- 따라하기 이모트 첫번째 노출
- 잠금뷰로 표시된다."
12.이모티콘플러스(+키보드),368,ambiguous_test_step,Test Step이 비어 있음,P3,common,이모트 상태 별 따라하기 결과화면 확인 > N > N > Y,,"아이템 섹션 표시된다.
- 따라하기 이모트 첫번째 노출
- 보유 상태로 표시된다.(잠금뷰아님)"
12.이모티콘플러스(+키보드),369,ambiguous_test_step,Test Step이 비어 있음,P3,common,이모트 상태 별 따라하기 결과화면 확인 > N > N > N,,"아이템 섹션 표시된다.
- 따라하기 이모트 첫번째 노출
- 잠금뷰로 표시된다."
12.이모티콘플러스(+키보드),384,invalid_os,"OS 값이 유효하지 않음: """"",P1,empty,최근사용 > 이모트 소유권 만료 시 최근사용 제거 확인 > 플러스 만료 제외처리 확인 > 10줄 단위 추가 확인,"이모티콘 플러스 만료 후

최근사용 이모티콘 탭 확인","정기결제 상품
ㄴ 제외되어 표시되지 않는다.

무제한 단품상품
ㄴ 유지된다."
12.이모티콘플러스(+키보드),385,invalid_os,"OS 값이 유효하지 않음: """"",P1,empty,최근사용 > 이모트 소유권 만료 시 최근사용 제거 확인 > 기간제 만료 제외처리 확인 > 10줄 단위 추가 확인,"기간제 만료 후 

최근사용 이모티콘 탭 확인","기간제 상품
ㄴ 제외되어 표시되지 않는다.

무제한 단품상품
ㄴ 유지된다."
12.이모티콘플러스(+키보드),418,ambiguous_expected_result,기대결과가 비어 있음,P3,common,미니스토어 카드 > 타이틀 > 사운드 아이콘 표시 > X,1. 이모티콘 타이틀 확인,
12.이모티콘플러스(+키보드),429,ambiguous_test_step,Test Step이 비어 있음,P3,common,스토어 뱃지 관리 설정 별 스토어 버튼 노출 확인 > 영역별 확인 > 커스텀 프로필 > X,,
12.이모티콘플러스(+키보드),429,ambiguous_expected_result,기대결과가 비어 있음,P3,common,스토어 뱃지 관리 설정 별 스토어 버튼 노출 확인 > 영역별 확인 > 커스텀 프로필 > X,,
12.이모티콘플러스(+키보드),430,ambiguous_test_step,Test Step이 비어 있음,P3,common,스토어 뱃지 관리 설정 별 스토어 버튼 노출 확인 > 영역별 확인 > 펑 > X,,
12.이모티콘플러스(+키보드),430,ambiguous_expected_result,기대결과가 비어 있음,P3,common,스토어 뱃지 관리 설정 별 스토어 버튼 노출 확인 > 영역별 확인 > 펑 > X,,
12.이모티콘플러스(+키보드),431,ambiguous_test_step,Test Step이 비어 있음,P3,common,스토어 뱃지 관리 설정 별 스토어 버튼 노출 확인 > 영역별 확인 > 게시판 > X,,
12.이모티콘플러스(+키보드),431,ambiguous_expected_result,기대결과가 비어 있음,P3,common,스토어 뱃지 관리 설정 별 스토어 버튼 노출 확인 > 영역별 확인 > 게시판 > X,,
12.이모티콘플러스(+키보드),432,ambiguous_test_step,Test Step이 비어 있음,P3,common,스토어 뱃지 관리 설정 별 스토어 버튼 노출 확인 > 영역별 확인 > 게시판 댓글 > X,,
12.이모티콘플러스(+키보드),432,ambiguous_expected_result,기대결과가 비어 있음,P3,common,스토어 뱃지 관리 설정 별 스토어 버튼 노출 확인 > 영역별 확인 > 게시판 댓글 > X,,
12.이모티콘플러스(+키보드),433,ambiguous_test_step,Test Step이 비어 있음,P3,common,스토어 뱃지 관리 설정 별 스토어 버튼 노출 확인 > 영역별 확인 > 플친 댓글 > X,,
12.이모티콘플러스(+키보드),433,ambiguous_expected_result,기대결과가 비어 있음,P3,common,스토어 뱃지 관리 설정 별 스토어 버튼 노출 확인 > 영역별 확인 > 플친 댓글 > X,,
12.이모티콘플러스(+키보드),434,ambiguous_test_step,Test Step이 비어 있음,P3,common,스토어 뱃지 관리 설정 별 스토어 버튼 노출 확인 > 영역별 확인 > 예약 메시지 > X,,
12.이모티콘플러스(+키보드),434,ambiguous_expected_result,기대결과가 비어 있음,P3,common,스토어 뱃지 관리 설정 별 스토어 버튼 노출 확인 > 영역별 확인 > 예약 메시지 > X,,
12.이모티콘플러스(+키보드),435,ambiguous_test_step,Test Step이 비어 있음,P3,common,스토어 뱃지 관리 설정 별 스토어 버튼 노출 확인 > 영역별 확인 > 페이스톡 > X,,
12.이모티콘플러스(+키보드),435,ambiguous_expected_result,기대결과가 비어 있음,P3,common,스토어 뱃지 관리 설정 별 스토어 버튼 노출 확인 > 영역별 확인 > 페이스톡 > X,,
12.이모티콘플러스(+키보드),436,ambiguous_test_step,Test Step이 비어 있음,P3,common,스토어 뱃지 관리 설정 별 스토어 버튼 노출 확인 > 영역별 확인 > 보이스톡 > X,,
12.이모티콘플러스(+키보드),436,ambiguous_expected_result,기대결과가 비어 있음,P3,common,스토어 뱃지 관리 설정 별 스토어 버튼 노출 확인 > 영역별 확인 > 보이스톡 > X,,
12.이모티콘플러스(+키보드),582,duplicated_step_expected,Test Step과 기대결과 유사도 100%,P1,common,카드형 정책 확인 > 카드형 썸네일 노출 > 아이템 노출 > 순서 랜덤 노출 확인,미니 이모티콘 탭 반복 진입 > 아이템 랜덤 노출 확인,미니 이모티콘 탭 반복 진입 > 아이템 랜덤 노출 확인
14.이모티콘스토어,50,invalid_os,"OS 값이 유효하지 않음: """"",P1,empty,검색 엔트리 이동 확인 > 노출 위치 확인 > 스크롤 발생한 경우,1. 검색창 카드 노출 확인,1. 와이드배너 카드 하단 노출
14.이모티콘스토어,71,duplicated_step_expected,Test Step과 기대결과 유사도 100%,P1,common,배너 노출 > 배너 오픈 > IP ID > 앱스킴,"설정된 배너 노출 (1440*184)

- 홈 최상단
- 홈 중단
- 홈 최하단","설정된 배너 노출 (1440*184)

- 홈 최상단
- 홈 중단
- 홈 최하단"
14.이모티콘스토어,72,duplicated_step_expected,Test Step과 기대결과 유사도 100%,P5,common,배너 노출 > 배너 종료 > IP ID > 앱스킴,띠배너 노출하지 않는다,띠배너 노출하지 않는다
14.이모티콘스토어,74,duplicated_step_expected,Test Step과 기대결과 유사도 100%,P1,common,배너 랜딩 > 배너 종료 > IP ID > 앱스킴,"설정된 페이지로 랜딩
- 이모티콘 상세 페이지, 그룹페이지, 웹 URL","설정된 페이지로 랜딩
- 이모티콘 상세 페이지, 그룹페이지, 웹 URL"
14.이모티콘스토어,98,duplicated_step_expected,Test Step과 기대결과 유사도 100%,P5,common,배너 랜딩 > _x0008_ > 자동 롤링 off > 복귀 시 첫번째 배너 노출 확인,"설정된 페이지로 랜딩
- 이모티콘 상세 페이지, 그룹페이지, 웹 URL","설정된 페이지로 랜딩
- 이모티콘 상세 페이지, 그룹페이지, 웹 URL"
14.이모티콘스토어,103,ambiguous_test_step,Test Step이 비어 있음,P5,common,타이틀 > 타이틀 노출 확인 > 자동 롤링 off > 복귀 시 첫번째 배너 노출 확인,,"어드민에 설정된 타이틀 정보로 노출 (15자 이내, 띄어쓰기 미포함)"
14.이모티콘스토어,243,duplicated_step_expected,Test Step과 기대결과 유사도 86%,P5,common,MD추천 목록 리스트 > 썸네일 이미지 > MD 추천 이모티콘 > 썸네일 1 설정 이미지 노출 확인,어드민에 설정된 썸네일 노출 확인,어드민에 설정된 썸네일 1로 노출
14.이모티콘스토어,244,duplicated_step_expected,Test Step과 기대결과 유사도 86%,P5,common,MD추천 목록 리스트 > 썸네일 이미지 > MD 추천 이모티콘 > 썸네일 2설정 이미지 노출 확인,어드민에 설정된 썸네일 노출 확인,어드민에 설정된 썸네일 2로 노출
14.이모티콘스토어,490,ambiguous_test_step,Test Step이 비어 있음,P5,common,현금영수증 /거래확인증 > 현금 영수증 노출 조건 확인 > 환불 > 만료 표시 확인,,"*현금성
- 페이머니, 상품권 등 -> 이외 미노출"
14.이모티콘스토어,516,ambiguous_test_step,Test Step이 비어 있음,P5,common,아이템 카드 > 섬네일 확인 > 타입별 확인 > 움스(Type:20),,
14.이모티콘스토어,516,ambiguous_expected_result,기대결과가 비어 있음,P5,common,아이템 카드 > 섬네일 확인 > 타입별 확인 > 움스(Type:20),,
14.이모티콘스토어,517,ambiguous_test_step,Test Step이 비어 있음,P5,common,아이템 카드 > 섬네일 확인 > 타입별 확인 > 스티커(Type:12),,
14.이모티콘스토어,517,ambiguous_expected_result,기대결과가 비어 있음,P5,common,아이템 카드 > 섬네일 확인 > 타입별 확인 > 스티커(Type:12),,
14.이모티콘스토어,518,ambiguous_test_step,Test Step이 비어 있음,P5,common,아이템 카드 > 섬네일 확인 > 타입별 확인 > 큰이모티콘(Type:25),,
14.이모티콘스토어,518,ambiguous_expected_result,기대결과가 비어 있음,P5,common,아이템 카드 > 섬네일 확인 > 타입별 확인 > 큰이모티콘(Type:25),,
14.이모티콘스토어,519,ambiguous_test_step,Test Step이 비어 있음,P5,common,아이템 카드 > 섬네일 확인 > 타입별 확인 > 움직이는 미니,,
14.이모티콘스토어,519,ambiguous_expected_result,기대결과가 비어 있음,P5,common,아이템 카드 > 섬네일 확인 > 타입별 확인 > 움직이는 미니,,
14.이모티콘스토어,520,ambiguous_test_step,Test Step이 비어 있음,P5,common,아이템 카드 > 섬네일 확인 > 타입별 확인 > 멈춰있는 미니,,
14.이모티콘스토어,520,ambiguous_expected_result,기대결과가 비어 있음,P5,common,아이템 카드 > 섬네일 확인 > 타입별 확인 > 멈춰있는 미니,,
14.이모티콘스토어,558,ambiguous_test_step,Test Step이 비어 있음,P5,common,빈페이지 확인 > 쿠폰 구성요소 확인 > 할인율 / 할인명 / 할인 종료일 > 멈춰있는 미니,,"1.안내 문구 표시
--
새소식을 준비중입니다. 
다가올 이벤트와 소식을 기대해주세요!"
14.이모티콘스토어,578,ambiguous_test_step,Test Step이 비어 있음,P5,common,전송 방법 별 확인 > 나에게 보내기 > 검증 flow 확인 > 유효하지 않은 일련번호,,"1. 얼럿 표시
--
유효하지 않은 일련번호입니다."
14.이모티콘스토어,579,ambiguous_test_step,Test Step이 비어 있음,P5,common,전송 방법 별 확인 > 나에게 보내기 > 검증 flow 확인 > 일련 번호 중복 사용,,"1. 얼럿 표시
--
이미 사용된 일련번호입니다."
14.이모티콘스토어,580,ambiguous_test_step,Test Step이 비어 있음,P5,common,전송 방법 별 확인 > 나에게 보내기 > 검증 flow 확인 > 일련 번호 유효 기간 만료,,"1. 얼럿 표시
--
일련번호 등록기간이 지났습니다."
14.이모티콘스토어,581,ambiguous_test_step,Test Step이 비어 있음,P5,common,전송 방법 별 확인 > 나에게 보내기 > 검증 flow 확인 > 동일 이모티콘 보유 여부,,"1. 얼럿 표시
--
이미 보유한 이모티콘입니다."
