service_name,row_number,omit_key,omit_expr,subject,source_col,orig_step,orig_expected,recon_step,recon_expected,reason,confidence
1.가입,525,상태_확인,상태 확인,비활성화 상태로 표시,expected_result,"1. 버튼 활성화 상태 확인
2. 6자 입력 후 버튼 활성화 상태 확인
3. 6자 이상 입력 시도
4. 6자 입력 상태에서 삭제 -> 5자","1. 비활성화 상태로 표시
2. 활성화 상태로 표시
3. 입력 불가
4. 비활성화 상태로 표시","1. 버튼 활성화 비활성화 상태로 표시
2. 6자 입력 후 버튼 활성화 상태 확인
3. 6자 이상 입력 시도
4. 6자 입력 상태에서 삭제 -> 5자",비활성화 상태로 표시,"Step에 ""상태 확인""라는 생략 표현이 있습니다. Expected Result의 첫 번째 문장에서 ""비활성화 상태로 표시""이(가) 확인 대상임을 파악하였습니다. 따라서 ""상태 확인""은 ""비활성화 상태로 표시""을 의미하는 것으로 판단하였습니다.",high
1.가입,602,다음_화면,다음 화면,인증번호 입력 화면으로 이동,expected_result,조건의 전화번호 입력 후 다음 화면 랜딩 확인,인증번호 입력 화면으로 이동,조건의 전화번호 입력 후 인증번호 입력 화면으로 이동 랜딩 확인,인증번호 입력 화면으로 이동 이어야 한다.,"Step에 ""다음 화면""라는 생략 표현이 있습니다. Expected Result의 첫 번째 문장에서 ""인증번호 입력 화면으로 이동""이(가) 확인 대상임을 파악하였습니다. 따라서 ""다음 화면""은 ""인증번호 입력 화면으로 이동""을 의미하는 것으로 판단하였습니다.",high
1.가입,603,다음_화면,다음 화면,MO 인증화면으로 이동,expected_result,조건의 전화번호 입력 후 다음 화면 랜딩 확인,MO 인증화면으로 이동,조건의 전화번호 입력 후 MO 인증화면으로 이동 랜딩 확인,MO 인증화면으로 이동 이어야 한다.,"Step에 ""다음 화면""라는 생략 표현이 있습니다. Expected Result의 첫 번째 문장에서 ""MO 인증화면으로 이동""이(가) 확인 대상임을 파악하였습니다. 따라서 ""다음 화면""은 ""MO 인증화면으로 이동""을 의미하는 것으로 판단하였습니다.",high
2.친구,6,UI_확인,UI 확인,친구탭에 표시된 내프로필 확인,expected_result,"1. 내프로필 영역 UI 확인
2. 내프로필 영역 탭","1. 친구탭에 표시된 내프로필 확인
 - 이름 표시
   ㄴ 최대 표시 글자수: 7자
   ㄴ 최대 표시 글자수 초과시
        : 공간에 맞는 글자수 표시 + 말줄임
            (말줄임 이전에 표시되는 글자수는 가변적)

2. 내프로필이 조회됨","1. 내프로필 영역 친구탭에 표시된 내프로필 확인
2. 내프로필 영역 탭",친구탭에 표시된 내프로필 확인 이어야 한다.,"Step에 ""UI 확인""라는 생략 표현이 있습니다. Expected Result의 첫 번째 문장에서 ""친구탭에 표시된 내프로필 확인""이(가) 확인 대상임을 파악하였습니다. 따라서 ""UI 확인""은 ""친구탭에 표시된 내프로필 확인""을 의미하는 것으로 판단하였습니다.",high
2.친구,12,UI_확인,UI 확인,[뒤로(<)] 추천친구,expected_result,친구탭> 친구추가> [추천친구] 진입시 추천 친구가 없을 때 목록 UI 확인,"[뒤로(<)] 추천친구

채널(AD)
[채널 카드1] [채널 카드2] ...

""추천친구가 없어요.""

*채널을 추가해도 목록은 갱신되지 않고 버튼 레이블만 변경됨",친구탭> 친구추가> [추천친구] 진입시 추천 친구가 없을 때 목록 [뒤로(<)] 추천친구,[뒤로(<)] 추천친구 이어야 한다.,"Step에 ""UI 확인""라는 생략 표현이 있습니다. Expected Result의 첫 번째 문장에서 ""[뒤로(<)] 추천친구""이(가) 확인 대상임을 파악하였습니다. 따라서 ""UI 확인""은 ""[뒤로(<)] 추천친구""을 의미하는 것으로 판단하였습니다.",high
2.친구,15,랜딩_확인,랜딩 확인,탭하면 선물하기 메인 화면,expected_result,친구칩 > 선물하기 버튼 노출 및 랜딩 확인,"선물하기 버튼이 노출되고, 탭하면 선물하기 메인 화면이 표시됨",친구칩 > 선물하기 버튼 노출 및 탭하면 선물하기 메인 화면,"선물하기 버튼이 노출되고, 탭하면 선물하기 메인 화면이 표시됨","Step에 ""랜딩 확인""라는 생략 표현이 있습니다. Expected Result의 첫 번째 문장에서 ""탭하면 선물하기 메인 화면""이(가) 확인 대상임을 파악하였습니다. 따라서 ""랜딩 확인""은 ""탭하면 선물하기 메인 화면""을 의미하는 것으로 판단하였습니다.",high
2.친구,85,노출_확인,노출 확인,context menu 항목,expected_result,친구칩> 설정> context menu 노출 확인,"context menu 항목
 [멀티프로필]
 [친구 목록 편집]
 [친구 관리]
 [전체 설정]",친구칩> 설정> context menu context menu 항목,context menu 항목 이어야 한다.,"Step에 ""노출 확인""라는 생략 표현이 있습니다. Expected Result의 첫 번째 문장에서 ""context menu 항목""이(가) 확인 대상임을 파악하였습니다. 따라서 ""노출 확인""은 ""context menu 항목""을 의미하는 것으로 판단하였습니다.",high
2.친구,86,노출_확인,노출 확인,context menu 항목,expected_result,소식칩> 설정> context menu 노출 확인,"context menu 항목
 [멀티프로필]
 [친구 관리]
 [전체 설정]",소식칩> 설정> context menu context menu 항목,context menu 항목 이어야 한다.,"Step에 ""노출 확인""라는 생략 표현이 있습니다. Expected Result의 첫 번째 문장에서 ""context menu 항목""이(가) 확인 대상임을 파악하였습니다. 따라서 ""노출 확인""은 ""context menu 항목""을 의미하는 것으로 판단하였습니다.",high
2.친구,87,화면_확인,화면 확인,멀티 프로필 생성 flow에 진입,expected_result,"1. 멀티프로필 목록> [+멀티프로필 만들기] 버튼 탭
2. 멀프1 생성 완료 후 프로필 목록 화면 확인

*멀프가 이미 3개 있는 경우 만들기 버튼 표시 안됨","1. 멀티 프로필 생성 flow에 진입
2. 멀티프로필 목록에 멀프1이 리스팅돼 있음

*친구탭> 내프로필 영역에는 표시 안됨","1. 멀티프로필 목록> [+멀티프로필 만들기] 버튼 탭
2. 멀프1 생성 완료 후 프로필 목록 멀티 프로필 생성 flow에 진입

*멀프가 이미 3개 있는 경우 만들기 버튼 표시 안됨",멀티 프로필 생성 flow에 진입 이어야 한다.,"Step에 ""화면 확인""라는 생략 표현이 있습니다. Expected Result의 첫 번째 문장에서 ""멀티 프로필 생성 flow에 진입""이(가) 확인 대상임을 파악하였습니다. 따라서 ""화면 확인""은 ""멀티 프로필 생성 flow에 진입""을 의미하는 것으로 판단하였습니다.",high
2.친구,147,노출_확인,노출 확인,멀티 게시물 노출됨,expected_result,"1. 멀티 게시물 노출 확인

- OS 별 사진만, 동영상만, 사진+동영상 게시물 나눠 확인
 ㄴ 2~20장 사이 다양하게 확인

2. 좌우 스와이프
3. n번째 컨텐츠 탭","1. 멀티 게시물 노출됨
2. 좌우 스와이프되며 이전, 다음 컨텐츠 노출됨
3. 프로필 피드 상세 내 n번째 컨텐츠 노출됨","1. 멀티 게시물 멀티 게시물 노출됨

- OS 별 사진만, 동영상만, 사진+동영상 게시물 나눠 확인
 ㄴ 2~20장 사이 다양하게 확인

2. 좌우 스와이프
3. n번째 컨텐츠 탭",멀티 게시물 노출됨 이어야 한다.,"Step에 ""노출 확인""라는 생략 표현이 있습니다. Expected Result의 첫 번째 문장에서 ""멀티 게시물 노출됨""이(가) 확인 대상임을 파악하였습니다. 따라서 ""노출 확인""은 ""멀티 게시물 노출됨""을 의미하는 것으로 판단하였습니다.",high
2.친구,158,노출_확인,노출 확인,3가지 유형의 숏폼 노출됨,expected_result,"1. 숏폼 영역 노출 확인
2. [더 많은 영상 보기 >] or [영상 더보기] 버튼 탭
3. 숏폼 썸네일 영역 탭","1. 3가지 유형의 숏폼 노출됨
- A. 운영 슬롯(멍때리기 좋은 숏폼), B. 인기 영상(지금 뜨는 숏폼), C. 추천 크리에이터(추천 숏폼 크리에이터) 유형 노출


2. 지금탭 > 숏폼칩으로 이동됨
* C 유형중 추천 숏폼 크리에이터 2명만 나오는 케이스는 버튼 미노출

3. 숏폼 전면 플레이어 랜딩 후 영상 재생됨","1. 숏폼 영역 3가지 유형의 숏폼 노출됨
2. [더 많은 영상 보기 >] or [영상 더보기] 버튼 탭
3. 숏폼 썸네일 영역 탭",3가지 유형의 숏폼 노출됨 이어야 한다.,"Step에 ""노출 확인""라는 생략 표현이 있습니다. Expected Result의 첫 번째 문장에서 ""3가지 유형의 숏폼 노출됨""이(가) 확인 대상임을 파악하였습니다. 따라서 ""노출 확인""은 ""3가지 유형의 숏폼 노출됨""을 의미하는 것으로 판단하였습니다.",high
3.프로필,49,동작_확인,동작 확인,버튼의 표시와 기능이 정상 동작 함,expected_result,"내 프로필 > 뮤직 아이템 > 뮤직리스트의 동작 확인
(편집/마이뮤직 버튼, 내 프로필뮤직 정보/더보기 버튼, 곡항목/찜버튼/더보기 버튼, 추천곡 영역 등)","버튼의 표시와 기능이 정상 동작 함
- 편집 : 프로필 뮤직 편집 화면 랜딩
- 마이뮤직 : 마이뮤직 화면 랜딩
- 내 프로필뮤직 더보기 : 메뉴 표시 (항목 정상 동작 확인)
- 앨범커버 : 곡 상세 화면 랜딩
- 곡정보 : 해당 곡 재생 시작
- 찜버튼 : 찜목록에 추가or삭제
- 더보기 버튼 : 메뉴 표시 (항목 정상 동작 확인)
- 추천곡 영역
 ㄴ 앨범커버 및 곡수 선택시 상세 화면 랜딩
 ㄴ [내프로필 뮤직과 어울리는 음악 듣기] 추천곡 재생","내 프로필 > 뮤직 아이템 > 뮤직리스트의 버튼의 표시와 기능이 정상 동작 함
(편집/마이뮤직 버튼, 내 프로필뮤직 정보/더보기 버튼, 곡항목/찜버튼/더보기 버튼, 추천곡 영역 등)",버튼의 표시와 기능이 정상 동작 함 이어야 한다.,"Step에 ""동작 확인""라는 생략 표현이 있습니다. Expected Result의 첫 번째 문장에서 ""버튼의 표시와 기능이 정상 동작 함""이(가) 확인 대상임을 파악하였습니다. 따라서 ""동작 확인""은 ""버튼의 표시와 기능이 정상 동작 함""을 의미하는 것으로 판단하였습니다.",high
3.프로필,50,동작_확인,동작 확인,버튼의 표시와 랜딩이 정상 동작함,expected_result,"내 프로필 내 버튼들의 동작 확인
- 상단 버튼 : 닫기, 프로필 편집, 더보기 
- 하단 버튼 : 나와의 채팅, 새 게시물 
- 꾸미기 아이템 : 인티커 아이템, 뮤직 아이템 버튼 
- 배사/프사 상세보기",버튼의 표시와 랜딩이 정상 동작함,"내 프로필 내 버튼들의 버튼의 표시와 랜딩이 정상 동작함
- 상단 버튼 : 닫기, 프로필 편집, 더보기 
- 하단 버튼 : 나와의 채팅, 새 게시물 
- 꾸미기 아이템 : 인티커 아이템, 뮤직 아이템 버튼 
- 배사/프사 상세보기",버튼의 표시와 랜딩이 정상 동작함 이어야 한다.,"Step에 ""동작 확인""라는 생략 표현이 있습니다. Expected Result의 첫 번째 문장에서 ""버튼의 표시와 랜딩이 정상 동작함""이(가) 확인 대상임을 파악하였습니다. 따라서 ""동작 확인""은 ""버튼의 표시와 랜딩이 정상 동작함""을 의미하는 것으로 판단하였습니다.",high
3.프로필,52,동작_확인,동작 확인,메뉴 노출 및 랜딩 정상 동작함,expected_result,내 프로필 > 더보기 메뉴 동작 확인,"메뉴 노출 및 랜딩 정상 동작함
- 메뉴 : 프로필 공유, 디데이 설정, 저장한 게시물, 펑 보관함, 설정",내 프로필 > 더보기 메뉴 메뉴 노출 및 랜딩 정상 동작함,메뉴 노출 및 랜딩 정상 동작함 이어야 한다.,"Step에 ""동작 확인""라는 생략 표현이 있습니다. Expected Result의 첫 번째 문장에서 ""메뉴 노출 및 랜딩 정상 동작함""이(가) 확인 대상임을 파악하였습니다. 따라서 ""동작 확인""은 ""메뉴 노출 및 랜딩 정상 동작함""을 의미하는 것으로 판단하였습니다.",high
3.프로필,54,동작_확인,동작 확인,- 새로운 디데이 추가 시 추가 됨,expected_result,디데이 화면 진입 및 동작 확인,"- 새로운 디데이 추가 시 추가 됨
- 디데이 목록 순서 변경 시 반영 됨
- 나의 디데이 목록, 프로필에 적용된 디데이 목록 노출 됨",디데이 화면 진입 및 - 새로운 디데이 추가 시 추가 됨,- 새로운 디데이 추가 시 추가 됨 이어야 한다.,"Step에 ""동작 확인""라는 생략 표현이 있습니다. Expected Result의 첫 번째 문장에서 ""- 새로운 디데이 추가 시 추가 됨""이(가) 확인 대상임을 파악하였습니다. 따라서 ""동작 확인""은 ""- 새로운 디데이 추가 시 추가 됨""을 의미하는 것으로 판단하였습니다.",high
3.프로필,55,동작_확인,동작 확인,- 포스트 탭,expected_result,저장 화면 진입 및 동작 확인,"- 포스트 탭 
 ㄴ 저장한 포스트 없을 시 : 빈 화면 문구 노출 됨
 ㄴ 저장한 포스트 있을 시 : 포스트 목록 저장 최신순으로 노출 됨

- 숏폼 탭
 ㄴ 저장한 숏폼 없을 시 : 빈 화면 문구 노출 됨
 ㄴ 저장한 숏폼 있을 시 : 숏폼 목록 저장 최신 순으로 노출 됨",저장 화면 진입 및 - 포스트 탭,- 포스트 탭 이어야 한다.,"Step에 ""동작 확인""라는 생략 표현이 있습니다. Expected Result의 첫 번째 문장에서 ""- 포스트 탭""이(가) 확인 대상임을 파악하였습니다. 따라서 ""동작 확인""은 ""- 포스트 탭""을 의미하는 것으로 판단하였습니다.",high
3.프로필,56,동작_확인,동작 확인,- 생성한 펑 없을 시,expected_result,펑 보관함 진입 및 동작 확인,"- 생성한 펑 없을 시 
 ㄴ [만들기] 버튼과 함께 빈 화면 가이드 문구 노출 됨
 ㄴ 펑 만들기 완료 시 기본 프로필 펑으로 발행됨

- 생성한 펑 있을 시
 ㄴ 생성한 모든 펑 최신 순으로 날짜 태그와 함께 노출 됨(기본 프로필, 멀티 프로필에서 발행한 펑 모두 노출)",펑 보관함 진입 및 - 생성한 펑 없을 시,- 생성한 펑 없을 시 이어야 한다.,"Step에 ""동작 확인""라는 생략 표현이 있습니다. Expected Result의 첫 번째 문장에서 ""- 생성한 펑 없을 시""이(가) 확인 대상임을 파악하였습니다. 따라서 ""동작 확인""은 ""- 생성한 펑 없을 시""을 의미하는 것으로 판단하였습니다.",high
3.프로필,59,동작_확인,동작 확인,편집 및 게시물 등록 정상 동작함,expected_result,"내 프로필 > 새 게시물 > 에디터 진입 및 동작 확인
- 하단 플로팅 메뉴 '게시물' 선택 > 미디어 피커 > 미디어 선택","편집 및 게시물 등록 정상 동작함

- 첨부한 미디어 노출 확인 
 ㄴ 사진/동영상 편집기 > 편집 정상 동작 됨

- 게시물 소개 입력 확인

- 링크 추가 정상 동작 확인
 ㄴ 링크 입력 됨 
 ㄴ 링크 미리보기 동작 됨 

- 위치 추가 정상 동작 확인
 ㄴ 첨부된 미디어 위치 정보 추출 가능 시 
  : 추천 버블 노출 됨
  : 위치 검색 창 > 미디어 촬영 위치의 장소 검색 결과 노출 됨 
 ㄴ 첨부된 사진 위치 정보 추출 불가 시 
  : 추천 버블 미노출 됨 
  : 위치 검색 창 > 현재 위치의 장소 검색 결과 노출","내 프로필 > 새 게시물 > 에디터 진입 및 편집 및 게시물 등록 정상 동작함
- 하단 플로팅 메뉴 '게시물' 선택 > 미디어 피커 > 미디어 선택",편집 및 게시물 등록 정상 동작함 이어야 한다.,"Step에 ""동작 확인""라는 생략 표현이 있습니다. Expected Result의 첫 번째 문장에서 ""편집 및 게시물 등록 정상 동작함""이(가) 확인 대상임을 파악하였습니다. 따라서 ""동작 확인""은 ""편집 및 게시물 등록 정상 동작함""을 의미하는 것으로 판단하였습니다.",high
3.프로필,60,동작_확인,동작 확인,편집 및 게시물 등록 정상 동작함,expected_result,"내 프로필 > 새 게시물 > 에디터 진입 및 동작 확인
- 하단 플로팅 메뉴 '게시물' 선택 > 미디어 피커 > ChatGPT 템플릿 선택 > 미디어 선택","편집 및 게시물 등록 정상 동작함

- 생성 완료된 ChatGPT 이미지 노출 확인
 ㄴ 이미지 편집 정상 동작

- 게시물 소개 입력 확인

- 링크 추가 정상 동작 확인
 ㄴ 링크 입력 됨 
 ㄴ 링크 미리보기 동작 됨 

- 위치 추가 정상 동작 확인
 ㄴ 첨부된 미디어 위치 정보 추출 가능 시 
  : 추천 버블 노출 됨
  : 위치 검색 창 > 미디어 촬영 위치의 장소 검색 결과 노출 됨 
 ㄴ 첨부된 사진 위치 정보 추출 불가 시 
  : 추천 버블 미노출 됨 
  : 위치 검색 창 > 현재 위치의 장소 검색 결과 노출 ","내 프로필 > 새 게시물 > 에디터 진입 및 편집 및 게시물 등록 정상 동작함
- 하단 플로팅 메뉴 '게시물' 선택 > 미디어 피커 > ChatGPT 템플릿 선택 > 미디어 선택",편집 및 게시물 등록 정상 동작함 이어야 한다.,"Step에 ""동작 확인""라는 생략 표현이 있습니다. Expected Result의 첫 번째 문장에서 ""편집 및 게시물 등록 정상 동작함""이(가) 확인 대상임을 파악하였습니다. 따라서 ""동작 확인""은 ""편집 및 게시물 등록 정상 동작함""을 의미하는 것으로 판단하였습니다.",high
3.프로필,61,동작_확인,동작 확인,편집 및 게시물 등록 정상 동작함,expected_result,"내 프로필 > 새 게시물 > 에디터 진입 및 동작 확인
- 하단 플로팅 메뉴 '게시물' 선택 > 미디어 피커 > 카나나 템플릿 선택 > 미디어 선택","편집 및 게시물 등록 정상 동작함

- 생성 완료된 카나나 영상 노출 확인
 ㄴ 영상 편집 미지원

- 게시물 소개 입력 확인

- 링크 추가 정상 동작 확인
 ㄴ 링크 입력 됨 
 ㄴ 링크 미리보기 동작 됨 

- 위치 추가 정상 동작 확인
 ㄴ 첨부된 미디어 위치 정보 추출 가능 시 
  : 추천 버블 노출 됨
  : 위치 검색 창 > 미디어 촬영 위치의 장소 검색 결과 노출 됨 
 ㄴ 첨부된 사진 위치 정보 추출 불가 시 
  : 추천 버블 미노출 됨 
  : 위치 검색 창 > 현재 위치의 장소 검색 결과 노출 됨
 ㄴ 위치 ","내 프로필 > 새 게시물 > 에디터 진입 및 편집 및 게시물 등록 정상 동작함
- 하단 플로팅 메뉴 '게시물' 선택 > 미디어 피커 > 카나나 템플릿 선택 > 미디어 선택",편집 및 게시물 등록 정상 동작함 이어야 한다.,"Step에 ""동작 확인""라는 생략 표현이 있습니다. Expected Result의 첫 번째 문장에서 ""편집 및 게시물 등록 정상 동작함""이(가) 확인 대상임을 파악하였습니다. 따라서 ""동작 확인""은 ""편집 및 게시물 등록 정상 동작함""을 의미하는 것으로 판단하였습니다.",high
3.프로필,62,동작_확인,동작 확인,편집 및 펑 발행 정상 동작함,expected_result,"내 프로필 > 새 게시물 > 에디터 진입 및 동작 확인
- 하단 플로팅 메뉴 '펑' 선택","편집 및 펑 발행 정상 동작함

- 펑 미발행
 ㄴ 프로필 홈 > 프로필 사진 > 펑 보더라인 미노출 됨
 ㄴ 프로필 사진 선택 시 프사 뷰어 진입됨

- 펑 발행 시 
 ㄴ 프로필 홈 > 프로필 사진 > 펑 보더라인 노란색 노출 됨
 ㄴ 프로필 사진 선택 시 펑 뷰 진입 됨 (미조회 펑부터 재생)
 ㄴ 프로필 사진 롱탭 시 프사 뷰어 진입 됨

- 펑 발행 > 펑뷰 진입 후
 ㄴ 프로필 홈 > 프로필 사진 > 펑 보더라인 회색 노출 됨
 ㄴ 프로필 사진 선택 시 펑 뷰 진입 됨
 ㄴ 프로필 사진 롱탭 시 프사 뷰어 진입 됨","내 프로필 > 새 게시물 > 에디터 진입 및 편집 및 펑 발행 정상 동작함
- 하단 플로팅 메뉴 '펑' 선택",편집 및 펑 발행 정상 동작함 이어야 한다.,"Step에 ""동작 확인""라는 생략 표현이 있습니다. Expected Result의 첫 번째 문장에서 ""편집 및 펑 발행 정상 동작함""이(가) 확인 대상임을 파악하였습니다. 따라서 ""동작 확인""은 ""편집 및 펑 발행 정상 동작함""을 의미하는 것으로 판단하였습니다.",high
3.프로필,78,목록_확인,목록 확인,푸쉬 메시지 바로 수신받음,expected_result,"1. 내 펑에 상대가 공감 탭 (최초 or 1개)

2. 채팅 탭 라스트 메시지 확인

3. 게시물 알림 목록 확인 

4. 해당 알림 목록 진입","1. 푸쉬 메시지 바로 수신받음 
 - (카카오톡 아이콘) 카카오톡   (발송 시간)
 - {name}님이 내 펑에 공감했어요. (썸네일)

2. 라스트 메시지 노출됨 
 - (프로필 사진) 게시물 알림 (발송 시간)
 - {name}님이 내 펑에 공감했어요.

3. 게시물 알림 목록에 노출됨 
 - (프로필사진)
 - {name}님이 내 펑에 공감했어요.   (썸네일)(공감 아이콘)
 - 발송 시간 *""%(n)초/분/시간/일"" 전

4. 펑 뷰로 랜딩됨","1. 내 펑에 상대가 공감 탭 (최초 or 1개)

2. 채팅 탭 라스트 메시지 확인

3. 게시물 알림 푸쉬 메시지 바로 수신받음 

4. 해당 알림 목록 진입",푸쉬 메시지 바로 수신받음 이어야 한다.,"Step에 ""목록 확인""라는 생략 표현이 있습니다. Expected Result의 첫 번째 문장에서 ""푸쉬 메시지 바로 수신받음""이(가) 확인 대상임을 파악하였습니다. 따라서 ""목록 확인""은 ""푸쉬 메시지 바로 수신받음""을 의미하는 것으로 판단하였습니다.",high
