service_name,row_number,recon_type,orig_step,orig_expected,recon_steps,recon_expected,moved_lines,reason,action_signals,state_signals
1.가입,489,separated,"1. 선택 권한 동의 화면 내 [확인] 탭
2. 알림 권한 허용
3. 연락처 권한 허용
4. 배터리 사용량 최적화 중지 허용","1. 알림 권한 팝업 표시
- (OS12이하는 뜨지 않음) OS13,OS14에서 발생
2. 연락처 접근 권한 팝업 표시
3. 배터리 사용량 최정화 중지 팝업 표시
4. 가입완료및 톡 진입",선택 권한 동의 화면 내 [확인] 탭 / 알림 권한 허용 / 연락처 권한 허용 / 배터리 사용량 최적화 중지 허용 / 가입완료및 톡 진입,"알림 권한 팝업 표시 / - (OS12이하는 뜨지 않음) OS13,OS14에서 발생 / 연락처 접근 권한 팝업 표시 / 배터리 사용량 최정화 중지 팝업 표시",가입완료및 톡 진입,"""가입완료및 톡 진입""은 행위 동사로 끝나는 실행 절차이므로 실행 절차로 이동하였습니다. ""알림 권한 팝업 표시""은 최종 상태를 기술하는 기대결과로 유지하였습니다. ""- (OS12이하는 뜨지 않음) OS13,OS14에서 발생""은 최종 상태를 기술하는 기대결과로 유지하였습니다. ""연락처 접근 권한 팝업 표시""은 최종 상태를 기술하는 기대결과로 유지하였습니다. ""배터리 사용량 최정화 중지 팝업 표시""은 최종 상태를 기술하는 기대결과로 유지하였습니다.",행위 동사 종결: 가입완료및 톡 진입,"상태 표현: 알림 권한 팝업 표시 | 상태 표현: - (OS12이하는 뜨지 않음) OS13,OS14에서 발생 | 상태 표현: 연락처 접근 권한 팝업 표시 | 상태 표현: 배터리 사용량 최정화 중지 팝업 표시"
1.가입,490,separated,"1. 선택 권한 동의 화면 내 [확인] 탭
2. 알림 권한 미허용
3. 연락처 권한 미허용
4. 배터리 사용량 최적화 중지 미허용","1. 알림 권한 팝업 표시
2. 연락처 접근 권한 팝업 표시
3. 배터리 사용량 최정화 중지 팝업 표시
4. 가입완료및 톡 진입
- 배터리 사용량 최적화 중지 팝업 재노출",선택 권한 동의 화면 내 [확인] 탭 / 알림 권한 미허용 / 연락처 권한 미허용 / 배터리 사용량 최적화 중지 미허용 / 가입완료및 톡 진입,알림 권한 팝업 표시 / 연락처 접근 권한 팝업 표시 / 배터리 사용량 최정화 중지 팝업 표시 / - 배터리 사용량 최적화 중지 팝업 재노출,가입완료및 톡 진입,"""가입완료및 톡 진입""은 행위 동사로 끝나는 실행 절차이므로 실행 절차로 이동하였습니다. ""알림 권한 팝업 표시""은 최종 상태를 기술하는 기대결과로 유지하였습니다. ""연락처 접근 권한 팝업 표시""은 최종 상태를 기술하는 기대결과로 유지하였습니다. ""배터리 사용량 최정화 중지 팝업 표시""은 최종 상태를 기술하는 기대결과로 유지하였습니다. ""- 배터리 사용량 최적화 중지 팝업 재노출""은 최종 상태를 기술하는 기대결과로 유지하였습니다.",행위 동사 종결: 가입완료및 톡 진입,상태 표현: 알림 권한 팝업 표시 | 상태 표현: 연락처 접근 권한 팝업 표시 | 상태 표현: 배터리 사용량 최정화 중지 팝업 표시 | 상태 표현: - 배터리 사용량 최적화 중지 팝업 재노출
1.가입,604,clarified,조건의 전화번호 입력 후 다음 화면 랜딩 확인,인증번호 입력 화면으로 이동,조건의 전화번호 입력 후 다음 화면 랜딩 확인 / 인증번호 입력 화면으로 이동,,인증번호 입력 화면으로 이동,기대결과 전체(1줄)가 실행 절차로 판단되어 실행 절차로 이동하였습니다. 명시적인 기대결과가 없어 별도 기재가 필요합니다.,행위 동사 종결: 인증번호 입력 화면으로 이동,
1.가입,605,clarified,조건의 전화번호 입력 후 다음 화면 랜딩 확인,MO 인증화면으로 이동,조건의 전화번호 입력 후 다음 화면 랜딩 확인 / MO 인증화면으로 이동,,MO 인증화면으로 이동,기대결과 전체(1줄)가 실행 절차로 판단되어 실행 절차로 이동하였습니다. 명시적인 기대결과가 없어 별도 기재가 필요합니다.,행위 동사 종결: MO 인증화면으로 이동,
2.친구,34,separated,업데이트 프로필 영역 확인,"- 타이틀 
 ㄴ ""업데이트 프로필""

- 내 프로필 사진 + ""내 프로필을 편집해 보세요."" + [>] 버튼 조합

- 전체 영역 선택 시 내 프로필 편집 화면 진입",업데이트 프로필 영역 확인 / - 전체 영역 선택 시 내 프로필 편집 화면 진입,"- 타이틀 / ㄴ ""업데이트 프로필"" / - 내 프로필 사진 + ""내 프로필을 편집해 보세요."" + [>] 버튼 조합",- 전체 영역 선택 시 내 프로필 편집 화면 진입,"""- 전체 영역 선택 시 내 프로필 편집 화면 진입""은 행위 동사로 끝나는 실행 절차이므로 실행 절차로 이동하였습니다. ""- 타이틀""은 최종 상태를 기술하는 기대결과로 유지하였습니다. ""ㄴ ""업데이트 프로필""""은 최종 상태를 기술하는 기대결과로 유지하였습니다. ""- 내 프로필 사진 + ""내 프로필을 편집해 보세요."" + [>] 버튼 조합""은 최종 상태를 기술하는 기대결과로 유지하였습니다.",행위 동사 종결: - 전체 영역 선택 시 내 프로필 편집 화면 진입,"상태 표현: - 타이틀 | 상태 표현: ㄴ ""업데이트 프로필"" | 상태 표현: - 내 프로필 사진 + ""내 프로필을 편집해 보세요."" + [>] 버튼 조합"
2.친구,35,separated,업데이트 프로필 영역 확인,"- 타이틀 
 ㄴ ""업데이트 프로필"" + 프로필 개수(친구 + 광고 프로필 수) 노출됨

- 내 프로필 편집 진입점
 ㄴ 내 프로필 사진 + [편집] 아이콘 + ""내 프로필"" 조합
 ㄴ 선택 시 내 프로필 편집 화면 진입

- 업데이트 친구 슬롯
 ㄴ 친구 프로필 사진 + 이름 조합
 ㄴ (디폴트) 프로필 사진 좌측 상단에 빨점 표시됨
 ㄴ 친구 슬롯 선택 시 업데이트 프로필 상세 진입

- [→] 소식 더보기 버튼
 ㄴ 버튼 선택 시 소식칩 진입",업데이트 프로필 영역 확인 / ㄴ 선택 시 내 프로필 편집 화면 진입 / ㄴ 친구 슬롯 선택 시 업데이트 프로필 상세 진입 / ㄴ 버튼 선택 시 소식칩 진입,"- 타이틀 / ㄴ ""업데이트 프로필"" + 프로필 개수(친구 + 광고 프로필 수) 노출됨 / - 내 프로필 편집 진입점 / ㄴ 내 프로필 사진 + [편집] 아이콘 + ""내 프로필"" 조합 / - 업데이트 친구 슬롯 / ㄴ 친구 프로필 사진 + 이름 조합 / ㄴ (디폴트) 프로필 사진 좌측 상단에 빨점 표시됨 / - [→] 소식 더보기 버튼",ㄴ 선택 시 내 프로필 편집 화면 진입 | ㄴ 친구 슬롯 선택 시 업데이트 프로필 상세 진입 | ㄴ 버튼 선택 시 소식칩 진입,"""ㄴ 선택 시 내 프로필 편집 화면 진입""은 행위 동사로 끝나는 실행 절차이므로 실행 절차로 이동하였습니다. ""ㄴ 친구 슬롯 선택 시 업데이트 프로필 상세 진입""은 행위 동사로 끝나는 실행 절차이므로 실행 절차로 이동하였습니다. ""ㄴ 버튼 선택 시 소식칩 진입""은 행위 동사로 끝나는 실행 절차이므로 실행 절차로 이동하였습니다. ""- 타이틀""은 최종 상태를 기술하는 기대결과로 유지하였습니다. ""ㄴ ""업데이트 프로필"" + 프로필 개수(친구 + 광고 프로필 수) 노출됨""은 최종 상태를 기술하는 기대결과로 유지하였습니다. ""- 내 프로필 편집 진입점""은 최종 상태를 기술하는 기대결과로 유지하였습니다. ""ㄴ 내 프로필 사진 + [편집] 아이콘 + ""내 프로필"" 조합""은 최종 상태를 기술하는 기대결과로 유지하였습니다.",행위 동사 종결: ㄴ 선택 시 내 프로필 편집 화면 진입 | 행위 동사 종결: ㄴ 친구 슬롯 선택 시 업데이트 프로필 상세 진입 | 행위 동사 종결: ㄴ 버튼 선택 시 소식칩 진입,"상태 표현: - 타이틀 | 상태 표현: ㄴ ""업데이트 프로필"" + 프로필 개수(친구 + 광고 프로필 수) 노출됨 | 상태 표현: - 내 프로필 편집 진입점 | 상태 표현: ㄴ 내 프로필 사진 + [편집] 아이콘 + ""내 프로필"" 조합 | 상태 표현: - 업데이트 친구 슬롯 | 상태 표현: ㄴ 친구 프로필 사진 + 이름 조합 | 상태 표현: ㄴ (디폴트) 프"
2.친구,40,clarified,"1. 친구 A 상세 진입
2. 좌우 스와이프로 친구 B 이동
3. 슬롯 복귀","친구 A, B 빨점 제거, [읽은 프로필]로 이동","친구 A 상세 진입 / 좌우 스와이프로 친구 B 이동 / 슬롯 복귀 / 친구 A, B 빨점 제거, [읽은 프로필]로 이동",,"친구 A, B 빨점 제거, [읽은 프로필]로 이동",기대결과 전체(1줄)가 실행 절차로 판단되어 실행 절차로 이동하였습니다. 명시적인 기대결과가 없어 별도 기재가 필요합니다.,"행위 동사 종결: 친구 A, B 빨점 제거, [읽은 프로필]로 이동",
2.친구,52,separated,업데이트 프로필 상세 화면 > 제스처 확인,"- Pinch in/out
 ㄴ 프/배사, 상메, 게시물/펑 : 줌 인/아웃 지원
 ㄴ 인티커, 디데이, 뮤직 : 줌 인/아웃 미지원
 ㄴ 줌 인/아웃 시 프로그레스 멈추고, 손 떼면 다시 재생됨

- Swipe
 ㄴ 이전/다음 친구의 업데이트 프로필 상세로 이동
 ㄴ 이전/다음 친구 없는 경우 화면 닫힘

- Tap
 ㄴ 이전/다음 카드로 이동
 ㄴ 이전/다음 카드 없는 경우 이전/다음 친구의 업데이트 프로필 상세로 이동

- Pull to dismiss
 ㄴ 업데이트 프로필 상세 화면 닫힘

- tap and hold (동영상 ",업데이트 프로필 상세 화면 > 제스처 확인 / ㄴ 이전/다음 친구의 업데이트 프로필 상세로 이동 / ㄴ 이전/다음 카드로 이동 / ㄴ 이전/다음 카드 없는 경우 이전/다음 친구의 업데이트 프로필 상세로 이동,"- Pinch in/out / ㄴ 프/배사, 상메, 게시물/펑 : 줌 인/아웃 지원 / ㄴ 인티커, 디데이, 뮤직 : 줌 인/아웃 미지원 / ㄴ 줌 인/아웃 시 프로그레스 멈추고, 손 떼면 다시 재생됨 / - Swipe / ㄴ 이전/다음 친구 없는 경우 화면 닫힘 / - Tap / - Pull to dismiss / ㄴ 업데이트 프로필 상세 화면 닫힘 / - tap and hold (동영상 only) / ㄴ 영상 일시정지",ㄴ 이전/다음 친구의 업데이트 프로필 상세로 이동 | ㄴ 이전/다음 카드로 이동 | ㄴ 이전/다음 카드 없는 경우 이전/다음 친구의 업데이트 프로필 상세로 이동,"""ㄴ 이전/다음 친구의 업데이트 프로필 상세로 이동""은 행위 동사로 끝나는 실행 절차이므로 실행 절차로 이동하였습니다. ""ㄴ 이전/다음 카드로 이동""은 행위 동사로 끝나는 실행 절차이므로 실행 절차로 이동하였습니다. ""ㄴ 이전/다음 카드 없는 경우 이전/다음 친구의 업데이트 프로필 상세로 이동""은 행위 동사로 끝나는 실행 절차이므로 실행 절차로 이동하였습니다. ""- Pinch in/out""은 최종 상태를 기술하는 기대결과로 유지하였습니다. ""ㄴ 프/배사, 상메, 게시물/펑 : 줌 인/아웃 지원""은 최종 상태를 기술하는 기대결과로 유지하였습니다. ""ㄴ 인티커, 디데이, 뮤직 : 줌 인/아웃 미지원""은 최종 상태를 기술하는 기대결과로 유지하였습니다. ""ㄴ 줌 인/아웃 시 프로그레스 멈추고, 손 떼면 다시 재생됨",행위 동사 종결: ㄴ 이전/다음 친구의 업데이트 프로필 상세로 이동 | 행위 동사 종결: ㄴ 이전/다음 카드로 이동 | 행위 동사 종결: ㄴ 이전/다음 카드 없는 경우 이전/다음 친구의 업데이트 프로필 상세로 이동,"상태 표현: - Pinch in/out | 상태 표현: ㄴ 프/배사, 상메, 게시물/펑 : 줌 인/아웃 지원 | 상태 표현: ㄴ 인티커, 디데이, 뮤직 : 줌 인/아웃 미지원 | 상태 표현: ㄴ 줌 인/아웃 시 프로그레스 멈추고, 손 떼면 다시 재생됨 | 상태 표현: - Swipe | 상태 표현: ㄴ 이전/다음 친구 없는 경우 화면 닫힘 | 상태 표현: -"
2.친구,89,separated,"1. 멀티프로필 목록> [+멀티프로필 만들기] 버튼 탭
2. 멀프1 생성 완료 후 프로필 목록 화면 확인

*멀프가 이미 3개 있는 경우 만들기 버튼 표시 안됨","1. 멀티 프로필 생성 flow에 진입
2. 멀티프로필 목록에 멀프1이 리스팅돼 있음

*친구탭> 내프로필 영역에는 표시 안됨",멀티프로필 목록> [+멀티프로필 만들기] 버튼 탭 / 멀프1 생성 완료 후 프로필 목록 화면 확인 / *멀프가 이미 3개 있는 경우 만들기 버튼 표시 안됨 / 멀티 프로필 생성 flow에 진입,멀티프로필 목록에 멀프1이 리스팅돼 있음 / *친구탭> 내프로필 영역에는 표시 안됨,멀티 프로필 생성 flow에 진입,"""멀티 프로필 생성 flow에 진입""은 행위 동사로 끝나는 실행 절차이므로 실행 절차로 이동하였습니다. ""멀티프로필 목록에 멀프1이 리스팅돼 있음""은 최종 상태를 기술하는 기대결과로 유지하였습니다. ""*친구탭> 내프로필 영역에는 표시 안됨""은 최종 상태를 기술하는 기대결과로 유지하였습니다.",행위 동사 종결: 멀티 프로필 생성 flow에 진입,상태 표현: 멀티프로필 목록에 멀프1이 리스팅돼 있음 | 상태 표현: *친구탭> 내프로필 영역에는 표시 안됨
2.친구,101,separated,친구칩 or 소식칩> 설정> [친구 관리] 선택,"친구 관리 페이지로 이동 
([전체 설정]-[친구] 항목과 같은 페이지)",친구칩 or 소식칩> 설정> [친구 관리] 선택 / 친구 관리 페이지로 이동,([전체 설정]-[친구] 항목과 같은 페이지),친구 관리 페이지로 이동,"""친구 관리 페이지로 이동""은 행위 동사로 끝나는 실행 절차이므로 실행 절차로 이동하였습니다. ""([전체 설정]-[친구] 항목과 같은 페이지)""은 최종 상태를 기술하는 기대결과로 유지하였습니다.",행위 동사 종결: 친구 관리 페이지로 이동,상태 표현: ([전체 설정]-[친구] 항목과 같은 페이지)
2.친구,110,separated,[숨김친구 관리] 영역 탭,"숨김친구 관리 화면으로 이동

[뒤로] 숨김친구 관리
[검색 필드] : 숨김친구 부재시 표시 안됨

카테고리명n [접기/펼치기]
[프사] [이름] [관리]

*소팅할 친구 타입이 없으면 카테고리 생성 안됨",[숨김친구 관리] 영역 탭 / 숨김친구 관리 화면으로 이동,[뒤로] 숨김친구 관리 / [검색 필드] : 숨김친구 부재시 표시 안됨 / 카테고리명n [접기/펼치기] / [프사] [이름] [관리] / *소팅할 친구 타입이 없으면 카테고리 생성 안됨,숨김친구 관리 화면으로 이동,"""숨김친구 관리 화면으로 이동""은 행위 동사로 끝나는 실행 절차이므로 실행 절차로 이동하였습니다. ""[뒤로] 숨김친구 관리""은 최종 상태를 기술하는 기대결과로 유지하였습니다. ""[검색 필드] : 숨김친구 부재시 표시 안됨""은 최종 상태를 기술하는 기대결과로 유지하였습니다. ""카테고리명n [접기/펼치기]""은 최종 상태를 기술하는 기대결과로 유지하였습니다. ""[프사] [이름] [관리]""은 최종 상태를 기술하는 기대결과로 유지하였습니다. ""*소팅할 친구 타입이 없으면 카테고리 생성 안됨""은 최종 상태를 기술하는 기대결과로 유지하였습니다.",행위 동사 종결: 숨김친구 관리 화면으로 이동,상태 표현: [뒤로] 숨김친구 관리 | 상태 표현: [검색 필드] : 숨김친구 부재시 표시 안됨 | 상태 표현: 카테고리명n [접기/펼치기] | 상태 표현: [프사] [이름] [관리] | 상태 표현: *소팅할 친구 타입이 없으면 카테고리 생성 안됨
2.친구,120,clarified,"[멀티프로필 설정] 선택

*멀티 프로필 사용중인 경우에만 표시",친구가 보는 내 프로필 화면으로 이동,[멀티프로필 설정] 선택 / *멀티 프로필 사용중인 경우에만 표시 / 친구가 보는 내 프로필 화면으로 이동,,친구가 보는 내 프로필 화면으로 이동,기대결과 전체(1줄)가 실행 절차로 판단되어 실행 절차로 이동하였습니다. 명시적인 기대결과가 없어 별도 기재가 필요합니다.,행위 동사 종결: 친구가 보는 내 프로필 화면으로 이동,
2.친구,121,separated,"1. [차단] 선택
2. [메시지 차단] 선택","1. 차단 flow 진입
2. 차단 flow 완료시
   - 숨김친구 목록에서 제외됨
   - 차단친구 목록에 정렬됨",[차단] 선택 / [메시지 차단] 선택 / 차단 flow 진입,차단 flow 완료시 / - 숨김친구 목록에서 제외됨 / - 차단친구 목록에 정렬됨,차단 flow 진입,"""차단 flow 진입""은 행위 동사로 끝나는 실행 절차이므로 실행 절차로 이동하였습니다. ""차단 flow 완료시""은 최종 상태를 기술하는 기대결과로 유지하였습니다. ""- 숨김친구 목록에서 제외됨""은 최종 상태를 기술하는 기대결과로 유지하였습니다. ""- 차단친구 목록에 정렬됨""은 최종 상태를 기술하는 기대결과로 유지하였습니다.",행위 동사 종결: 차단 flow 진입,상태 표현: 차단 flow 완료시 | 상태 표현: - 숨김친구 목록에서 제외됨 | 상태 표현: - 차단친구 목록에 정렬됨
2.친구,125,separated,[차단친구 관리] 영역 탭,"차단친구 관리 화면으로 이동

[뒤로] 차단친구 관리
[검색 필드] : 차단친구 부재시 표시 안됨

카테고리명n [접기/펼치기]
[프사] [이름] [차단 분류] [관리]

*소팅할 친구 타입이 없으면 카테고리 생성 안됨
*차단 분류
 - 일반친구 (메시지차단 / 메시지차단, 프로필 비공개, 차단해제)
 - 채널 (메시지 차단, 메시지 차단 해제, 알림톡 차단 해제, 모두 해제하기)
   ㄴ 채널 종류/현재 상태별 나타나는 항목이 다를수 있음
   ㄴ 위 항목중 2개 혹은 그 이상이 나타날 수 있음",[차단친구 관리] 영역 탭 / 차단친구 관리 화면으로 이동,"[뒤로] 차단친구 관리 / [검색 필드] : 차단친구 부재시 표시 안됨 / 카테고리명n [접기/펼치기] / [프사] [이름] [차단 분류] [관리] / *소팅할 친구 타입이 없으면 카테고리 생성 안됨 / *차단 분류 / - 일반친구 (메시지차단 / 메시지차단, 프로필 비공개, 차단해제) / - 채널 (메시지 차단, 메시지 차단 해제, 알림톡 차단 해제, 모두 해제하기) / ㄴ 채널 종류/현재 상태별 나타나는 항목이 다를수 있음 / ㄴ 위 항목중 2개 혹은 그 이상이 나타날 수 있음",차단친구 관리 화면으로 이동,"""차단친구 관리 화면으로 이동""은 행위 동사로 끝나는 실행 절차이므로 실행 절차로 이동하였습니다. ""[뒤로] 차단친구 관리""은 최종 상태를 기술하는 기대결과로 유지하였습니다. ""[검색 필드] : 차단친구 부재시 표시 안됨""은 최종 상태를 기술하는 기대결과로 유지하였습니다. ""카테고리명n [접기/펼치기]""은 최종 상태를 기술하는 기대결과로 유지하였습니다. ""[프사] [이름] [차단 분류] [관리]""은 최종 상태를 기술하는 기대결과로 유지하였습니다. ""*소팅할 친구 타입이 없으면 카테고리 생성 안됨""은 최종 상태를 기술하는 기대결과로 유지하였습니다. ""*차단 분류""은 최종 상태를 기술하는 기대결과로 유지하였습니다. ""- 일반친구 (메시지차단 / 메시지차단, 프로필 비공개, 차단해제)""은 최종 상태를 기술하는 기",행위 동사 종결: 차단친구 관리 화면으로 이동,"상태 표현: [뒤로] 차단친구 관리 | 상태 표현: [검색 필드] : 차단친구 부재시 표시 안됨 | 상태 표현: 카테고리명n [접기/펼치기] | 상태 표현: [프사] [이름] [차단 분류] [관리] | 상태 표현: *소팅할 친구 타입이 없으면 카테고리 생성 안됨 | 상태 표현: *차단 분류 | 상태 표현: - 일반친구 (메시지차단 / 메시지차단, 프로필 비"
2.친구,170,separated,게시물 내 이미지 탭,"프로필 피드 상세로 이동됨(다른 게시물 탐색 불가)

- 다양한 확장자 형식의 파일 깨지지 않고 노출되며 프로필 상세로 이동
(움직이는 이미지 멈춰있는 상태로 노출)",게시물 내 이미지 탭 / - 다양한 확장자 형식의 파일 깨지지 않고 노출되며 프로필 상세로 이동,프로필 피드 상세로 이동됨(다른 게시물 탐색 불가) / (움직이는 이미지 멈춰있는 상태로 노출),- 다양한 확장자 형식의 파일 깨지지 않고 노출되며 프로필 상세로 이동,"""- 다양한 확장자 형식의 파일 깨지지 않고 노출되며 프로필 상세로 이동""은 행위 동사로 끝나는 실행 절차이므로 실행 절차로 이동하였습니다. ""프로필 피드 상세로 이동됨(다른 게시물 탐색 불가)""은 최종 상태를 기술하는 기대결과로 유지하였습니다. ""(움직이는 이미지 멈춰있는 상태로 노출)""은 최종 상태를 기술하는 기대결과로 유지하였습니다.",행위 동사 종결: - 다양한 확장자 형식의 파일 깨지지 않고 노출되며 프로필 상세로 이동,상태 표현: 프로필 피드 상세로 이동됨(다른 게시물 탐색 불가) | 상태 표현: (움직이는 이미지 멈춰있는 상태로 노출)
3.프로필,57,separated,저장 화면 진입 및 동작 확인,"- 포스트 탭 
 ㄴ 저장한 포스트 없을 시 : 빈 화면 문구 노출 됨
 ㄴ 저장한 포스트 있을 시 : 포스트 목록 저장 최신순으로 노출 됨

- 숏폼 탭
 ㄴ 저장한 숏폼 없을 시 : 빈 화면 문구 노출 됨
 ㄴ 저장한 숏폼 있을 시 : 숏폼 목록 저장 최신 순으로 노출 됨",저장 화면 진입 및 동작 확인 / - 포스트 탭 / - 숏폼 탭,ㄴ 저장한 포스트 없을 시 : 빈 화면 문구 노출 됨 / ㄴ 저장한 포스트 있을 시 : 포스트 목록 저장 최신순으로 노출 됨 / ㄴ 저장한 숏폼 없을 시 : 빈 화면 문구 노출 됨 / ㄴ 저장한 숏폼 있을 시 : 숏폼 목록 저장 최신 순으로 노출 됨,- 포스트 탭 | - 숏폼 탭,"""- 포스트 탭""은 행위 동사로 끝나는 실행 절차이므로 실행 절차로 이동하였습니다. ""- 숏폼 탭""은 행위 동사로 끝나는 실행 절차이므로 실행 절차로 이동하였습니다. ""ㄴ 저장한 포스트 없을 시 : 빈 화면 문구 노출 됨""은 최종 상태를 기술하는 기대결과로 유지하였습니다. ""ㄴ 저장한 포스트 있을 시 : 포스트 목록 저장 최신순으로 노출 됨""은 최종 상태를 기술하는 기대결과로 유지하였습니다. ""ㄴ 저장한 숏폼 없을 시 : 빈 화면 문구 노출 됨""은 최종 상태를 기술하는 기대결과로 유지하였습니다. ""ㄴ 저장한 숏폼 있을 시 : 숏폼 목록 저장 최신 순으로 노출 됨""은 최종 상태를 기술하는 기대결과로 유지하였습니다.",행위 동사 종결: - 포스트 탭 | 행위 동사 종결: - 숏폼 탭,상태 표현: ㄴ 저장한 포스트 없을 시 : 빈 화면 문구 노출 됨 | 상태 표현: ㄴ 저장한 포스트 있을 시 : 포스트 목록 저장 최신순으로 노출 됨 | 상태 표현: ㄴ 저장한 숏폼 없을 시 : 빈 화면 문구 노출 됨 | 상태 표현: ㄴ 저장한 숏폼 있을 시 : 숏폼 목록 저장 최신 순으로 노출 됨
