service_name,category_1,category_2,category_3,category_4,tc_count
1.가입,기본정책,다시받기 팝업 확인,유효성확인 불가(unknown),디폴트 텍스트,1
1.가입,기본정책,다시받기 팝업 확인,유효한 번호(valid),디폴트 텍스트,1
1.가입,기본정책,인증번호 입력정책,버튼 활성화,디폴트 텍스트,1
1.가입,기본정책,인증번호 재발송,다시받기 버튼 확인,디폴트 텍스트,2
1.가입,기존 톡 확인,이어서 사용하기,톡유저 ID 승계 확인,카카오계정,1
1.가입,기존 톡 확인,프로필 이미지,톡유저 ID 승계 확인,카카오계정,2
1.가입,기존계정 확인,기존 계정으로 로그인,철회팝업,카카오계정,1
1.가입,기존계정 확인,새로운 계정으로 계속,톡유저 ID 승계 확인,카카오계정,2
1.가입,기타,해외번호 가입,"디폴트
생년월일",디폴트,1
1.가입,다른 전화번호로 인증,화면 분기 확인,[백업 데이터 확인하기],랜딩 확인,1
1.가입,랜딩 확인,다음,14세 이상 미동의 후 진행 flow 확인,"랜딩 확인
: 약관 페이지",1
1.가입,랜딩 확인,다음,전체 약관 동의 후 진행,"랜딩 확인
: 약관 페이지",1
1.가입,랜딩 확인,다음,필수 약관 동의 후 진행,"랜딩 확인
: 약관 페이지",1
1.가입,랜딩 확인,새로운 카카오 계정 만들기,권한 허용,"랜딩 확인
: 약관 페이지",1
1.가입,랜딩 확인,처음으로 돌아가기,14세 이상 미동의 후 진행 flow 확인,"랜딩 확인
: 약관 페이지",1
1.가입,랜딩 확인,카카오 계정 로그인,기존 계정 로그인 시 약관 페이지 스킵 확인,"랜딩 확인
: 약관 페이지",1
1.가입,랜딩 확인,카카오 계정 로그인,톡 미가입 계정 로그인 시 약관 페이지 랜딩 확인,"랜딩 확인
: 약관 페이지",1
1.가입,로그인 가능 시도횟수 제한,이메일,권한 허용,디폴트 문구,1
1.가입,로그인 가능 시도횟수 제한,전화번호,권한 허용,디폴트 문구,1
1.가입,로그인 버튼 활성화,활성화 확인,권한 허용,랜딩 확인,1
1.가입,로그인 제한,인증뺏긴 전화번호 계정 로그인 제한,권한 허용,디폴트 문구,1
1.가입,모두 동의 기능,개별 약관,[ >] 버튼,"랜딩 확인
: 약관 페이지",3
1.가입,무료 사용자 - 백업 만료 사용자,대화 복원하기,탭 불가,최근데이터로 갱신 확인,1
1.가입,무료 사용자 - 백업 만료 사용자,백업 데이터 확인하기,무료 백업 데이터 갱신,최근데이터로 갱신 확인,1
1.가입,무료 사용자 - 백업 만료 사용자,백업 데이터 확인하기,서랍 가입 갱신,최근데이터로 갱신 확인,1
1.가입,무료 사용자 - 백업 만료 사용자,백업 데이터 확인하기,"자동 갱신
: 10초 폴링으로 갱신",최근데이터로 갱신 확인,1
1.가입,무료 사용자 - 백업 만료 사용자,복원하지 않고 시작하기,탭 불가,최근데이터로 갱신 확인,1
1.가입,무료 사용자 - 백업 만료 사용자,이전 기기에서 백업하기,탭 불가,최근데이터로 갱신 확인,1
1.가입,무료사용자 - 백업 안내(백업 없음),무료 백업 데이터 갱신,백업 데이터 확인하기,백업 존재시,1
1.가입,무료사용자 - 백업 안내(백업 없음),무료 백업 데이터 갱신,서랍 가입 갱신,백업 존재시,1
1.가입,무료사용자 - 백업 안내(백업 없음),무료 백업 데이터 갱신,"자동 갱신
: 60초 폴링 갱신",백업 존재시,1
1.가입,무료사용자 - 백업 안내(백업 없음),복원하지 않고 시작하기,SMS제한 5회 제한,백업 존재시,1
1.가입,무료사용자 - 백업 안내(백업 없음),이전 기기에서 백업하기,SMS제한 5회 제한,백업 존재시,1
1.가입,무료사용자 - 백업이 존재하는 경우,백업 데이터 확인하기,무료 백업 데이터 갱신,최근데이터로 갱신 확인,1
1.가입,무료사용자 - 백업이 존재하는 경우,백업 데이터 확인하기,무료 백업 데이터 갱신,틀린 번호 입력,1
1.가입,무료사용자 - 백업이 존재하는 경우,백업 데이터 확인하기,서랍 가입 갱신,최근데이터로 갱신 확인,1
1.가입,무료사용자 - 백업이 존재하는 경우,백업 데이터 확인하기,"자동 갱신
: 10초 폴링으로 갱신",최근데이터로 갱신 확인,1
1.가입,무료사용자 - 백업이 존재하는 경우,복원하지 않고 시작하기,복원 완료 화면,틀린 번호 입력,1
1.가입,무료사용자 - 백업이 존재하는 경우,사진 없이 대화만 복원하기,대화 복원 중 화면,틀린 번호 입력,1
1.가입,무료사용자 - 백업이 존재하는 경우,사진 없이 대화만 복원하기,복원 완료 화면,틀린 번호 입력,1
1.가입,무료사용자 - 백업이 존재하는 경우,사진 없이 대화만 복원하기,비밀번호 입력,올바른 번호로 입력,1
1.가입,무료사용자 - 백업이 존재하는 경우,사진 없이 대화만 복원하기,비밀번호 입력,틀린 번호 입력,1
1.가입,무료사용자 - 백업이 존재하는 경우,사진 없이 대화만 복원하기,서랍 가입 갱신,백업 존재시,1
1.가입,무료사용자 - 백업이 존재하는 경우,사진과 대화 모두 복원하기,복원 완료 화면,틀린 번호 입력,1
1.가입,백업하지 않고 시작하기,팝업 및 TMS전송 및 수동백업 Flow확인,[백업 데이터 확인하기],최근데이터로 갱신 확인,1
1.가입,비밀번호 입력 제한,입력제한 확인,권한 허용,디폴트 문구,2
1.가입,비밀번호 자리수 체크로직,비밀번호 자리수,인증번호 오기입 제한,디폴트,3
1.가입,비밀번호 자리수 체크로직,비밀번호 자리수 제한 확인,권한 허용,디폴트 문구,3
1.가입,비밀번호 정책,서버체크,"-'를 제거한 휴대폰번호 뒤 7자리가 포함되는 경우

(ex. 010-1234-5678, ab821012345678cd.. )",(뒤부터 7자리),1
1.가입,비밀번호 정책,서버체크,ascii printable 문자가 아닌 경우,디폴트 텍스트,1
1.가입,비밀번호 정책,서버체크,문자로만 구성되어 있으면,디폴트 텍스트,1
1.가입,비밀번호 정책,서버체크,숫자로만 구성되어 있으면,디폴트 텍스트,1
1.가입,비밀번호 정책,서버체크,"아래 패턴이 2가지 이상 포함됨.

키보드 자판상 일직선 한방향으로 연속적인 문자열 4자리 (ex. qwer, wert,erty, poiu, oiuy, 1qaz, 2wsx, 3edc, cde3...)
연속적인 문자열 4자리 (ex. abcd, bcde, dcba..)
연속적인 숫자열 4자리 (ex. 1234, 2345, 9876...)
위 패턴은 blacklist로 가지고 있음.",(뒤부터 7자리),1
1.가입,비밀번호 정책,서버체크,이메일아이디가 포함된 경우,(뒤부터 7자리),1
1.가입,비밀번호 정책,서버체크,직전 비밀번호와 동일한 경우,(뒤부터 7자리),1
1.가입,비밀번호 정책,서버체크,특수문자로만 구성되어 있으면,디폴트 텍스트,1
1.가입,비밀번호 정책,클라이언트 체크,32자 초과,(뒤부터 7자리),1
1.가입,비밀번호 정책,클라이언트 체크,8자 미만,(뒤부터 7자리),1
1.가입,비밀번호 정책,클라이언트 체크,스페이스,(뒤부터 7자리),1
1.가입,비밀번호 정책,클라이언트 체크,재입력 비번 불일치,(뒤부터 7자리),1
1.가입,비밀번호 찾기,비밀번호 자리수,인증번호 오기입 제한,웹뷰 닫기,1
1.가입,비밀번호 찾기,비밀번호 자리수,인증번호 오기입 제한,카카오계정 웹뷰 랜딩,1
1.가입,새로운 카카오톡 가입하기,로그인,기존 사용자,미허용 시 가입 후 팝업 재노출 확인,1
1.가입,생년월일,날짜피커,"디폴트
생년월일",디폴트,1
1.가입,생년월일,날짜피커,연도 미선택,디폴트,4
1.가입,생년월일,날짜피커,연도 선택,디폴트,5
1.가입,생년월일,날짜피커,취소처리,디폴트,1
1.가입,서브디바이스,처음으로 돌아가기,"필수 약관, 광고 식별자 수집 동의 체크 후 진행 확인",버튼 노출,1
1.가입,서브디바이스,처음으로 돌아가기,"필수 약관, 광고 식별자 수집 동의 체크 후 진행 확인",버튼 미노출,1
1.가입,성별,기존 계정으로 로그인,철회팝업,디폴트,3
1.가입,알림 권한 허용 요청,알림 권한 설정 확인,권한 허용,,1
1.가입,알림 권한 허용 요청,알림 권한 설정 확인,권한 허용 안함,,1
1.가입,알림 권한 허용 요청,알림 권한 허용 요청 팝업 표시 확인,,,1
1.가입,약관 별 문구 및 링크 확인,[선택] 위치정보 수집 및 이용동의,[ >] 버튼,"랜딩 확인
: 약관 페이지",1
1.가입,약관 별 문구 및 링크 확인,[선택] 카카오알림 채널 추가 및 광고메시지 수신,[ >] 버튼,"랜딩 확인
: 약관 페이지",1
1.가입,약관 별 문구 및 링크 확인,[선택] 프로필 정보 추가 수집 동의,[ >] 버튼,"랜딩 확인
: 약관 페이지",1
1.가입,약관 별 문구 및 링크 확인,[필수] 개인정보 수집 및 이용 동의,[ >] 버튼,"랜딩 확인
: 약관 페이지",1
1.가입,약관 별 문구 및 링크 확인,[필수] 카카오 통합서비스 약관,[ >] 버튼,"랜딩 확인
: 약관 페이지",1
1.가입,약관 별 문구 및 링크 확인,[필수] 카카오계정 약관,[ >] 버튼,"랜딩 확인
: 약관 페이지",1
1.가입,약관 별 문구 및 링크 확인,만 14세 이상입니다.,[ >] 버튼,"랜딩 확인
: 약관 페이지",1
1.가입,언어 설정 적용,국가번호 자동 입력(iOS),인증번호 오기입 제한,웹뷰 닫기,16
1.가입,언어 설정 적용,권한 유도창 노출,14세 이상 미동의 후 진행 flow 확인,권한 취소,16
1.가입,에러 케이스,가입 제한 번호,SMS제한 5회 제한,변경 시,2
1.가입,에러 케이스,가입 제한 안내,SMS제한 5회 제한,변경 시,2
1.가입,에러 케이스,인증 제한 번호,SMS제한 5회 제한,변경 시,2
1.가입,에러 케이스,중복요청,SMS제한 5회 제한,변경 시,2
1.가입,음성안내 확인,선택 언어 별 안내 확인,영어,변경 시,2
1.가입,음성안내 확인,선택 언어 별 안내 확인,일본어,변경 시,2
1.가입,음성안내 확인,선택 언어 별 안내 확인,한국어,변경 시,2
1.가입,음성안내 확인,음성 확인,응답시간 초과 시,변경 시,2
1.가입,음성안내 확인,음성 확인,인트로,변경 시,2
1.가입,음성안내 확인,음성 확인,잘못된 입력 시,변경 시,2
1.가입,음성안내 확인,음성 확인,정상 입력 시,변경 시,2
1.가입,음성안내 확인,음성 확인,최종 실패 시,변경 시,2
1.가입,이메일 인증코드 입력(PASSCODE-EMAIL) 화면 내 기능/로직 확인,인증메일 발송 제한,다시받기 팝업,다시받기 버튼 확인,1
1.가입,이메일 인증코드 입력(PASSCODE-EMAIL) 화면 내 기능/로직 확인,인증번호 얼럿,오기입,다시받기 버튼 확인,1
1.가입,이메일 인증코드 입력(PASSCODE-EMAIL) 화면 내 기능/로직 확인,인증번호 재발송,다시받기 팝업,다시받기 버튼 확인,1
1.가입,이메일 인증코드 입력(PASSCODE-EMAIL) 화면 내 기능/로직 확인,인증번호 재발송,약관 동의 여부,다시받기 버튼 확인,2
1.가입,이메일 인증코드 입력(PASSCODE-EMAIL) 화면 내 기능/로직 확인,확인 버튼 활성화,약관 동의 여부,디폴트 텍스트,1
1.가입,이메일 형식 validation check,클라이언트 체크,@이메일,약관 링크,1
1.가입,이메일 형식 validation check,클라이언트 체크,약관 동의 여부,약관 링크,1
1.가입,이전 프로필 노출,이미지,"디폴트
생년월일",디폴트,1
1.가입,이전 프로필 노출,이미지 수정 옵션 확인,"디폴트
생년월일",디폴트,1
1.가입,이전기기에서 백업하기,팝업 및 TMS전송 및 수동백업 Flow확인,[백업 데이터 확인하기],최근데이터로 갱신 확인,1
1.가입,이전기기에서 백업하기,팝업 및 TMS전송 및 수동백업 Flow확인,폴링 확인(60초),최근데이터로 갱신 확인,1
1.가입,인증 문자 전송하기,인증번호 오기입 제한,다시받기로 인증번호 2회 받은 경우,디폴트 텍스트,1
1.가입,인증 수단 별 랜딩 확인,ARS 인증 대상,"필수 약관, 광고 식별자 수집 동의 체크 후 진행 확인",상세조건 기입 필요,1
1.가입,인증 수단 별 랜딩 확인,MO인증 대상,MO인증,인증 문자 전송하기,1
1.가입,인증 수단 별 랜딩 확인,MO인증 대상,MO인증,전화번호 변경하기,1
1.가입,인증 수단 별 랜딩 확인,MO인증 대상,MO인증 확인,에러 - 인증 만료,1
1.가입,인증 수단 별 랜딩 확인,MO인증 대상,MO인증 확인,에러 - 인증 실패,1
1.가입,인증 수단 별 랜딩 확인,MO인증 대상,MO인증 확인,에러 - 펜딩,1
1.가입,인증 수단 별 랜딩 확인,MO인증 대상,MO인증 확인,확인- 정상,1
1.가입,인증 수단 별 랜딩 확인,MO인증 대상,인증번호 오기입 제한,웹뷰 닫기,1
1.가입,인증 수단 별 랜딩 확인,MO인증 대상,취소하기,에러 - 인증 만료,1
1.가입,인증 수단 별 랜딩 확인,MO인증 대상,"필수 약관, 광고 식별자 수집 동의 체크 후 진행 확인",상세조건 기입 필요,1
1.가입,인증 수단 별 랜딩 확인,SMS인증 대상,인증번호 오기입 제한,웹뷰 닫기,1
1.가입,인증 수단 별 랜딩 확인,SMS인증 대상,"필수 약관, 광고 식별자 수집 동의 체크 후 진행 확인",권한 취소,1
1.가입,인증 처리,인증 성공,SMS제한 5회 제한,변경 시,2
1.가입,인증 처리,인증번호 입력 실패 및 랜딩,SMS제한 5회 제한,변경 시,2
1.가입,인증메일 발송 클릭 시 얼럿,이메일 등록 페이지 잔류,약관 동의 여부,약관 링크,1
1.가입,인증메일 발송 클릭 시 얼럿,클라이언트 체크,약관 동의 여부,약관 링크,4
1.가입,인증번호 다시받기,다시받기 성공,SMS제한 5회 제한,변경 시,2
1.가입,인증번호 다시받기,재전화 방지,SMS제한 5회 제한,변경 시,2
1.가입,인증번호 무효화 처리,신규가입 > 전화번호 인증,인증 만료,변경 시,1
1.가입,인증번호 무효화 처리,인증뺏김 > 전화번호 변경 > 전화번호 인증,보이스콜 인증,변경 시,1
1.가입,인증번호 발급,로그인 > 전화번호 인증,인증 만료,변경 시,1
1.가입,인증번호 발급,신규가입 > 전화번호 인증,인증 만료,변경 시,1
1.가입,인증번호 발급,인증뺏김 > 전화번호 변경 > 전화번호 인증,보이스콜 인증,변경 시,1
1.가입,인증번호 발송 확인,전화번호 인증하기,기존 사용자,미허용 시 가입 후 팝업 재노출 확인,1
1.가입,인증번호 유효성 체크 얼럿,사용중인 전화번호,다시받기로 인증번호 2회 받은 경우,디폴트 텍스트,1
1.가입,인증번호 유효성 체크 얼럿,인증번호 유효기간,다시받기로 인증번호 2회 받은 경우,디폴트 텍스트,2
1.가입,인증번호 유효성 체크 얼럿,인증번호 유효기간,발급된 인증 번호,디폴트 텍스트,2
1.가입,인증번호 유효성 체크 얼럿,인증번호 틀림 얼럿,다시받기로 인증번호 2회 받은 경우,디폴트 텍스트,1
1.가입,인증번호 유효성 체크 얼럿,입력한 인증번호 유효,다시받기로 인증번호 2회 받은 경우,디폴트 텍스트,1
1.가입,인증번호 입력화면 기능 확인,기본정책,다시받기 팝업 확인,유효성확인 불가(unknown),1
1.가입,인증번호 입력화면 기능 확인,기본정책,다시받기 팝업 확인,유효한 번호(valid),1
1.가입,인증번호 입력화면 기능 확인,기본정책,인증번호 입력정책,버튼 활성화,1
1.가입,인증번호 입력화면 기능 확인,기본정책,인증번호 재발송,다시받기 버튼 확인,2
1.가입,인증번호 입력화면 기능 확인,인증번호 유효성 체크 얼럿,인증번호 유효기간,다시받기로 인증번호 2회 받은 경우,2
1.가입,인증번호 입력화면 기능 확인,인증번호 유효성 체크 얼럿,인증번호 유효기간,발급된 인증 번호,2
1.가입,인증번호 입력화면 기능 확인,인증번호 유효성 체크 얼럿,인증번호 틀림 얼럿,다시받기로 인증번호 2회 받은 경우,1
1.가입,인증번호 입력화면 기능 확인,전화번호 인증 및 변경 횟수 제한 정책,동일기기/동일번호 인증 제한,다시받기로 인증번호 2회 받은 경우,5
1.가입,인증번호 입력화면 기능 확인,전화번호 인증 및 변경 횟수 제한 정책,인증번호 오기입 제한,다시받기로 인증번호 2회 받은 경우,2
1.가입,인증전화 발신 횟수 제한,전화발신 Only 제한,4회 정상 시도,변경 시,2
1.가입,인증전화 발신 횟수 제한,전화발신 Only 제한,5회 제한,변경 시,2
1.가입,인증전화 발신 횟수 제한,전화발신/ SMS 제한,SMS제한 4회 정상 시도,변경 시,2
1.가입,인증전화 발신 횟수 제한,전화발신/ SMS 제한,SMS제한 5회 제한,변경 시,2
1.가입,전화번호 계정 노멀라이즈,+ 문자 노멀라이즈 처리,권한 허용,디폴트 문구,1
1.가입,전화번호 계정 노멀라이즈,-처리,권한 허용,디폴트 문구,1
1.가입,전화번호 계정 노멀라이즈,스페이스 처리,권한 허용,디폴트 문구,1
1.가입,전화번호 변경 확인,전화번호 인증하기,기존 사용자,미허용 시 가입 후 팝업 재노출 확인,1
1.가입,전화번호 변경 횟수 제한,EU국가,인증번호 오기입 제한,웹뷰 닫기,2
1.가입,전화번호 변경 횟수 제한,약관동의 확인,"필수 약관, 광고 식별자 수집 동의 체크 후 진행 확인",권한 취소,2
1.가입,전화번호 변경하기,인증번호 오기입 제한,다시받기로 인증번호 2회 받은 경우,디폴트 텍스트,1
1.가입,전화번호 유효성 검증,유효성확인 불가(unknown),인증번호 오기입 제한,웹뷰 닫기,1
1.가입,전화번호 유효성 검증,유효성확인 불가(unknown),"필수 약관, 광고 식별자 수집 동의 체크 후 진행 확인",권한 취소,1
1.가입,전화번호 유효성 검증,유효하지 않은 번호(invalid),인증번호 오기입 제한,웹뷰 닫기,1
1.가입,전화번호 유효성 검증,유효하지 않은 번호(invalid),"필수 약관, 광고 식별자 수집 동의 체크 후 진행 확인",권한 취소,1
1.가입,전화번호 유효성 검증,유효한 번호(valid),인증번호 오기입 제한,웹뷰 닫기,1
1.가입,전화번호 유효성 검증,유효한 번호(valid),"필수 약관, 광고 식별자 수집 동의 체크 후 진행 확인",권한 취소,1
1.가입,전화번호 인증 및 변경 횟수 제한 정책,동일기기/동일번호 인증 제한,다시받기로 인증번호 2회 받은 경우,디폴트 텍스트,5
1.가입,전화번호 인증 및 변경 횟수 제한 정책,인증번호 오기입 제한,다시받기로 인증번호 2회 받은 경우,디폴트 텍스트,2
1.가입,전화번호 인증하기,전화번호 인증하기,기존 사용자,미허용 시 가입 후 팝업 재노출 확인,1
1.가입,전화번호 자동 입력 및 권한 획득,권한 유도창 노출,14세 이상 미동의 후 진행 flow 확인,권한 취소,1
1.가입,전화번호 자동 입력 및 권한 획득,권한 허용 후 자동입력 확인(Android),14세 이상 미동의 후 진행 flow 확인,권한 취소,1
1.가입,전화번호 자동 입력 및 권한 획득,권한 허용 후 자동입력 확인(Android),14세 이상 미동의 후 진행 flow 확인,권한 허용,1
1.가입,제재 랜딩 처리,"보호조치
: 로그인 시도 스킵 처리 확인",권한 허용,디폴트 문구,1
1.가입,제재 랜딩 처리,이용제재,권한 허용,디폴트 문구,1
1.가입,주소록 친구 자동 추가,동기화 Off,"디폴트
생년월일",디폴트,1
1.가입,주소록 친구 자동 추가,동기화 On,"디폴트
생년월일",디폴트,1
1.가입,카카오맵 SSO 적용여부,SSO 적용 시점,카카오톡 계정 로그인,변경 시,1
1.가입,카카오맵 SSO 적용여부,SSO 적용 시점,카카오톡 계정 로그인,위처정보 약관 동의,1
1.가입,카카오맵 SSO 적용여부,SSO 적용 시점,카카오톡 계정 비로그인,변경 시,1
1.가입,톡약관만 노출 케이스,모두 동의 버튼 미노출,[ >] 버튼,"랜딩 확인
: 약관 페이지",1
1.가입,프로필 이미지 등록 정책 일원화,해외번호 가입,"디폴트
생년월일",디폴트,2
1.가입,허용 팝업 표시 확인,로그인,기존 사용자,OS권한 동의창 순차적 노출 확인,1
1.가입,허용 팝업 표시 확인,로그인,기존 사용자,미허용 시 가입 후 팝업 재노출 확인,1
1.가입,화면 진입 확인,로그인,기존 사용자,서랍 가입자,1
1.가입,화면 진입 확인,신규 가입,Android Only,화면 랜딩 확인,1
1.가입,확인 버튼 활성화,기존 계정으로 로그인,철회팝업,디폴트,3
1.가입,휴면 랜딩 처리,"휴면
: 로그인 시도 스킵 처리",권한 허용,디폴트 문구,1
10.통화,"PIP 모드 전환
(통화 화면 숨김)","call kit
(iOS)",통화창> 통화 녹음,,2
10.통화,그룹 보이스톡 동시호,통화 종료 화면,android PIP,,1
10.통화,그룹 페이스톡 동시호,화면 공유 중단,통화 멤버 추가,기본 배경 효과,1
10.통화,기타 통화창 버튼,"call kit
(iOS)",통화창> 통화 녹음,,1
10.통화,링키파이,"(2025/9차)
통화 키워드 확대",통화중 배너 및 진행중 아이콘 표시/해제,배너 내 버튼 동작,1
10.통화,무료통화 수신 허용,BG,android PIP,,1
10.통화,무료통화 수신 허용,BG,통화 음량,,1
10.통화,무료통화 수신 허용,BG,통화창> 통화 녹음,,1
10.통화,보이스룸 메인 화면 내 버튼/기능,공통 기능,통화 멤버 추가,기본 배경 효과,1
10.통화,보이스룸 메인 화면 내 버튼/기능,리스너 전용 기능,통화 멤버 추가,기본 배경 효과,1
10.통화,보이스룸 메인 화면 내 버튼/기능,스피커 전용 기능,통화 멤버 추가,기본 배경 효과,1
10.통화,보이스룸 메인 화면 내 버튼/기능,진행자 전용 기능,통화 멤버 추가,기본 배경 효과,1
10.통화,보이스톡 동시호,"call kit
(iOS)",통화창> 통화 녹음,,1
10.통화,생성,생성 조건,통화 멤버 추가,기본 배경 효과,1
10.통화,생성,생성 화면 구성 및 알림,통화 멤버 추가,기본 배경 효과,1
10.통화,수신시 톡 앱 상태,BG,android PIP,,1
10.통화,수신시 톡 앱 상태,BG,통화창> 통화 녹음,,1
10.통화,수신시 톡 앱 상태,FG,android PIP,,1
10.통화,수신시 톡 앱 상태,FG,통화창> 통화 녹음,,1
10.통화,"수신시 톡 앱 상태
(iOS)",BG,통화 음량,,1
10.통화,"수신시 톡 앱 상태
(iOS)",FG,통화 음량,,1
10.통화,수신중,통화 멤버 보기,통화 음량,,1
10.통화,수신중,통화창,android PIP,,1
10.통화,수신중,페톡 수신중 통화창 UI,통화 음량,,1
10.통화,알림,생성 화면 구성 및 알림,통화 멤버 추가,기본 배경 효과,1
10.통화,인입 경로,+메뉴 / 말풍선 / 통화목록,최대 인원,,1
10.통화,인입 경로,전송(보이스톡) 버튼,,,1
10.통화,인입 경로,전송(보이스톡) 버튼,최대 인원,,1
10.통화,인입 경로,채팅방,,,1
10.통화,인입 경로,통화 이력,,,2
10.통화,인입 경로,프로필,,,1
10.통화,인입 경로,프로필 / +메뉴 / 말풍선 / 통화목록,android PIP,,1
10.통화,종료,공통 기능,통화 멤버 추가,기본 배경 효과,1
10.통화,진입,링크,통화 멤버 추가,기본 배경 효과,1
10.통화,진입,채팅방 배너 및 말풍선,통화 멤버 추가,기본 배경 효과,1
10.통화,채팅 목록,공통 기능,통화 멤버 추가,기본 배경 효과,1
10.통화,채팅방,1:1 채팅,통화 멤버 추가,기본 배경 효과,1
10.통화,채팅방,그룹 채팅/팀채팅,수신중 배너 표시/해제,배너 내 버튼 동작,1
10.통화,채팅방,그룹 채팅/팀채팅,수신중 배너 표시/해제,배너 표시,1
10.통화,채팅방,그룹 채팅/팀채팅,통화중 배너 및 진행중 아이콘 표시/해제,배너 내 버튼 동작,1
10.통화,채팅방 타입별(1:1옾챗),인증 뺏긴 친구,,,1
10.통화,"채팅방 통화
(개별 통화 이력)",개별 통화 이력 인터랙션,통화중 배너 및 진행중 아이콘 표시/해제,배너 내 버튼 동작,1
10.통화,"채팅방 통화
(개별 통화 이력)",개별 통화 이력 표시,통화중 배너 및 진행중 아이콘 표시/해제,배너 내 버튼 동작,1
10.통화,"최근 통화
(전체 통화 이력)",전체 통화 이력 인터랙션,통화중 배너 및 진행중 아이콘 표시/해제,배너 내 버튼 동작,1
10.통화,"최근 통화
(전체 통화 이력)",전체 통화 이력 표시,통화중 배너 및 진행중 아이콘 표시/해제,배너 내 버튼 동작,1
10.통화,"최근 통화
(전체 통화 이력)",통화 이력 상세 화면,통화중 배너 및 진행중 아이콘 표시/해제,배너 내 버튼 동작,1
10.통화,친구 관계별 동작,인증 뺏긴 친구,,,1
10.통화,친구 관계별 동작,차단한 친구,,,1
10.통화,친구 관계별 동작,친구 아님,,,1
10.통화,톡클라우드 연동,통화 내용 보기에서 검색,통화중 배너 및 진행중 아이콘 표시/해제,배너 내 버튼 동작,1
10.통화,통화 내용 검색,통화 내용 보기에서 검색,통화중 배너 및 진행중 아이콘 표시/해제,배너 내 버튼 동작,1
10.통화,통화 내용 검색,통화 이력에서 검색,통화중 배너 및 진행중 아이콘 표시/해제,배너 내 버튼 동작,1
10.통화,통화 내용 보기 화면,녹음 삭제,통화중 배너 및 진행중 아이콘 표시/해제,배너 내 버튼 동작,1
10.통화,통화 내용 보기 화면,녹음 재생 컨트롤,통화중 배너 및 진행중 아이콘 표시/해제,배너 내 버튼 동작,1
10.통화,통화 녹음,"call kit
(iOS)",통화창> 통화 녹음,,1
10.통화,통화 멤버 추가,그룹 보이스톡 멤버 제한,최대 인원,,1
10.통화,통화 멤버 추가,통화 멤버 추가,통화창> 통화 녹음,,1
10.통화,통화 상태 유지,BG / screen off,통화 멤버 추가,기본 배경 효과,1
10.통화,통화 상태 유지,일반전화 수신,통화 멤버 추가,기본 배경 효과,1
10.통화,통화 상태 유지,카메라,통화 음량,,1
10.통화,통화 연결중,UI 및 기능,통화 음량,,1
10.통화,통화 연결중,통화 성공,통화 음량,,1
10.통화,통화 유지 보장(android),"(2025/9차)
통화 키워드 확대",통화중 배너 및 진행중 아이콘 표시/해제,배너 내 버튼 동작,1
10.통화,통화 자동 녹음,설정 이후 통화 자동 녹음,통화중 배너 및 진행중 아이콘 표시/해제,배너 내 버튼 동작,1
10.통화,통화 자동 녹음,진입점 별 자동 녹음 설정,통화중 배너 및 진행중 아이콘 표시/해제,배너 내 버튼 동작,1
10.통화,통화 종료,통화 종료,android PIP,,1
10.통화,통화 종료,통화 종료 화면,android PIP,,1
10.통화,통화 종료,화면 공유 중단,통화 멤버 추가,기본 배경 효과,1
10.통화,통화연결중,그룹 보이스톡 발신,최대 인원,,1
